idhere,H_mag,family
2001 XD105,15.11,Schubart
2001 XR207,14.52,Potomac
2001 XN223,14.81,Background
2004 FK57,14.84,Hilda
2008 RM100,14.98,Francette
2001 VT31,14.71,Background
2001 YJ65,15.77,Background
2001 YS66,14.94,Background
2001 YW79,14.65,Hilda
2002 AT169,15.44,Potomac
2002 CM142,15.01,Hilda
2002 CN263,14.76,Background
2006 PX9,14.78,Background
2006 SE32,15.12,Schubart
1999 RR214,14.75,Hilda
1999 TN152,14.62,Background
2000 TJ25,14.95,Potomac
2000 YY72,14.61,Background
2000 YH138,14.97,Background
2001 WA94,15.38,Background
2002 CC308,15.67,Schubart
2003 BB88,14.9,Hilda
2003 CG16,15.1,Hilda
2008 TK164,15.05,Background
2008 VO59,15.8,Schubart
2008 WQ81,15.43,Background
Honthyhanna,15.66,Schubart
2009 VR58,15.3,Background
2009 WO252,15.41,Schubart
1995 NF1,14.71,Background
1999 TL170,14.97,Schubart
2002 CH304,15.02,Potomac
2002 GP38,14.45,Hilda
2004 HK15,14.85,Background
2004 OY12,14.35,Background
2005 PY14,14.04,Hilda
2005 QQ53,15.1,Schubart
2005 SL61,14.79,Schubart
2005 SJ116,14.71,Background
2005 SE124,14.64,Hilda
2005 SB272,14.57,Hilda
2005 WT122,14.59,Hilda
2006 QC3,14.85,Schubart
2006 QB33,14.64,Hilda
2006 QU104,14.79,Background
2007 RC33,14.68,Potomac
2007 RW38,15.09,Background
2007 RV140,15.06,Schubart
2007 RB157,15.4,Schubart
2007 RC188,15.05,Background
2007 SD2,14.84,Hilda
2007 TN14,15.3,Background
2007 TH165,14.99,Schubart
2008 CK157,14.64,Potomac
2008 SD149,14.72,Background
2008 WA72,15.5,Background
2008 WA77,15.5,Schubart
2008 XG5,14.92,Hilda
2008 YJ110,14.24,Hilda
2009 BM54,14.23,Background
2009 BP88,14.28,Background
2002 GS41,14.26,Potomac
2002 GB129,14.59,Potomac
2002 GF133,15.16,Schubart
2003 MX,14.63,Potomac
2003 ST50,14.09,Hilda
2004 XO44,14.74,Schubart
2005 LH53,14.97,Schubart
2005 PO23,14.18,Hilda
2005 QL1,14.43,Background
2005 SE85,15.06,Background
2005 SZ185,14.36,Hilda
2005 TN134,15.21,Schubart
2005 UR279,14.82,Schubart
2006 QS55,14.97,Schubart
2007 RM107,15.21,Background
2008 RK96,15.12,Background
2008 YV124,14.91,Background
1999 TX132,15.03,Schubart
2002 JC34,13.9,Background
2006 VV57,14.74,Schubart
2008 RK108,15.55,Hilda
Tubman,15.01,Schubart
1981 EZ5,14.83,Hilda
2002 NK42,14.62,Background
2002 PY81,14.31,Background
2002 PZ160,14.87,Francette
2003 CR4,15.28,Hilda
2003 CP5,14.97,Hilda
2003 FK28,13.7,Hilda
2003 HV31,14.32,Hilda
2003 UK189,14.52,Hilda
2003 WR72,15.21,Background
2003 WG90,15.55,Background
2003 WX103,15.2,Background
2003 WB170,14.79,Potomac
2004 CM74,14.17,Background
2004 QS14,14.65,Background
2005 QC41,14.5,Background
2005 SW230,15.34,Schubart
2006 FJ12,15.3,Schubart
2006 TE9,14.91,Background
2008 AM10,14.88,Hilda
2008 PN13,14.93,Hilda
2009 DV66,15.43,Schubart
2002 PY114,14.96,Schubart
2002 RX44,14.45,Hilda
2002 SY22,14.01,Hilda
2002 TV19,14.73,Schubart
2003 UH276,14.93,Schubart
2003 WU165,14.77,Background
2004 CV72,14.63,Background
2004 PC24,14.73,Potomac
2004 XG5,14.77,Background
2005 UQ336,14.77,Background
2007 RD38,14.56,Hilda
2008 AO17,15.05,Background
2008 AP17,14.85,Background
2008 UH5,14.95,Background
2009 BR48,14.72,Background
2009 DV77,15.33,Schubart
2002 CU1,15.1,Hilda
2002 PV103,14.88,Potomac
Berndpauli,14.76,Hilda
2002 SY24,14.72,Hilda
2003 TV19,15.52,Schubart
2003 UR161,14.94,Background
2003 UX228,14.55,Hilda
2003 UL275,15.36,Background
2003 WF65,15.0,Schubart
2004 EG34,14.78,Background
2005 SM284,15.53,Hilda
2006 WH146,14.49,Hilda
2007 RE119,14.92,Hilda
2007 TT289,14.53,Hilda
2008 CW119,14.42,Hilda
2008 RS4,15.53,Schubart
2008 SD127,15.58,Background
2008 SU203,15.51,Background
2008 SF300,15.43,Schubart
Ajoie,15.31,Background
2008 UR259,15.44,Schubart
2009 BU108,15.13,Background
2009 DN69,15.16,Background
2002 PY47,14.57,Hilda
2002 PL74,14.59,Hilda
2002 PV155,15.27,Schubart
2002 QC52,15.66,Schubart
2002 QS131,15.44,Background
2002 RK68,14.44,Hilda
2002 RN79,14.85,Background
2002 RT181,14.98,Schubart
2004 YB25,14.89,Hilda
2006 DU106,15.03,Background
1995 WX12,15.38,Background
2001 NX16,14.81,Background
2001 QJ62,15.01,Background
2001 QR226,14.53,Background
2001 RO104,14.97,Schubart
2001 TC255,14.81,Potomac
2002 RD81,14.96,Schubart
2002 RD114,14.76,Background
2002 RZ247,15.06,Hilda
2002 SR19,14.38,Background
2002 SJ27,15.1,Background
2002 SV32,14.73,Hilda
2002 SE37,14.99,Background
2002 TB96,14.55,Hilda
2002 TN210,14.79,Potomac
2002 TG377,14.93,Hilda
2003 YH53,14.99,Background
2004 DQ59,14.79,Background
2005 EP33,14.85,Schubart
2006 DU215,14.54,Hilda
2006 TJ75,14.76,Hilda
2007 GG54,14.74,Background
2009 RN9,15.13,Background
1981 DA3,14.55,Hilda
2001 NZ7,15.52,Background
2001 RF112,14.92,Background
2001 RW120,14.78,Background
2001 RY149,15.03,Schubart
2001 US169,14.03,Hilda
2002 QM132,15.19,Background
2003 AK16,14.12,Potomac
2003 CG6,14.95,Background
2003 RZ20,14.67,Schubart
2003 UA24,15.24,Background
2003 UV244,15.79,Background
2004 BR81,14.34,Potomac
2004 CC117,15.1,Schubart
2004 DR58,14.74,Hilda
2004 EB45,15.23,Background
2004 VN,14.57,Schubart
2005 AD78,15.76,Schubart
2005 GM28,14.39,Background
2006 HD3,14.8,Background
2006 KF31,14.86,Background
2007 CW52,15.16,Schubart
2008 HX33,14.7,Potomac
2008 QE37,15.11,Background
2008 RD122,15.5,Background
2009 OM19,15.18,Background
2009 QN12,15.09,Background
2009 QB22,15.77,Background
2009 QX25,15.58,Background
2009 QX39,14.99,Background
2009 SR354,14.91,Background
2001 UX13,14.72,Potomac
2003 DR4,14.94,Potomac
2004 FL27,15.47,Schubart
2005 JZ183,14.93,Background
2008 HX68,15.2,Hilda
2008 SG287,14.32,Background
2009 SN264,14.68,Background
2009 WA76,15.6,Schubart
2009 WX209,15.38,Background
2003 BS19,14.94,Background
2003 BZ47,14.78,Background
2003 BX91,15.42,Potomac
2005 WE85,14.6,Hilda
2008 SJ37,15.13,Background
2008 TK6,15.07,Hilda
2008 TG106,15.29,Schubart
2008 WL49,14.88,Background
2009 UQ98,15.55,Schubart
2009 UP152,15.9,Hilda
2009 VB27,16.13,Schubart
2009 WT198,15.52,Background
2010 CQ191,15.87,Schubart
2010 VQ180,14.92,Background
1998 RQ65,14.82,Background
2001 VK115,14.78,Potomac
2001 YU49,14.65,Hilda
2001 YN54,15.95,Background
2002 AF188,15.15,Schubart
2002 TF156,14.9,Background
2003 KB32,14.93,Hilda
2004 DS61,15.62,Schubart
2004 NZ18,15.15,Background
2004 OA4,15.12,Background
2005 NB21,14.43,Background
2005 QC31,14.92,Background
2005 QE74,14.07,Hilda
2005 SN24,14.71,Background
2005 TD76,14.33,Hilda
2006 RL18,14.64,Schubart
2007 QB10,14.76,Hilda
2007 RL124,15.65,Schubart
2007 TP24,15.11,Background
2007 TF111,14.8,Background
2008 RM35,15.12,Background
2008 SJ248,15.34,Schubart
2008 TY156,15.3,Schubart
2008 UO11,15.47,Background
2008 UT273,15.51,Background
2008 UR302,15.34,Background
Fedaksari,16.04,Schubart
2008 YH126,14.87,Hilda
2009 UC7,15.32,Schubart
2009 UL37,15.53,Background
2009 UN148,15.76,Background
2009 XW6,15.57,Schubart
2010 OH111,14.92,Background
2001 XW134,15.19,Hilda
2002 TE16,15.15,Hilda
2005 OB26,15.16,Schubart
2005 QX156,14.54,Potomac
2005 RW44,14.71,Hilda
2005 SQ254,14.87,Hilda
2006 TJ109,14.64,Background
2006 WG115,14.6,Hilda
2008 RS87,14.88,Background
2009 CD37,14.71,Hilda
2009 UK152,15.04,Hilda
2009 VJ86,15.82,Schubart
2010 BW101,16.14,Background
2010 NA79,14.58,Hilda
2010 NL111,15.23,Hilda
2011 DT1,15.04,Background
2004 QS3,14.87,Hilda
2005 SE13,15.54,Schubart
2006 WT82,14.79,Potomac
2009 BC133,14.62,Background
2009 BL190,14.68,Background
2010 FE20,15.2,Background
1992 DE1,14.4,Hilda
Rutebeuf,14.47,Hilda
2004 SS31,15.2,Schubart
2004 TS196,15.44,Schubart
2005 UX258,14.86,Potomac
2006 WD150,14.68,Hilda
2007 VK267,14.71,Hilda
1997 SN22,14.98,Hilda
1999 TY67,15.45,Background
2000 WP43,15.15,Background
2001 QX148,15.02,Schubart
2001 SG2,15.03,Background
2002 ST44,14.95,Schubart
2002 TM181,15.09,Schubart
2002 TB197,15.48,Schubart
2002 VW21,14.81,Hilda
2003 SR183,14.58,Potomac
2003 UA50,15.11,Hilda
2004 EU45,15.04,Hilda
2004 TS344,14.58,Schubart
2004 TF359,15.37,Background
2004 VD9,14.88,Background
2004 VH11,14.75,Schubart
2004 VH84,15.23,Schubart
2004 XE66,15.16,Schubart
2004 XD107,15.18,Background
2005 EW42,14.47,Background
2005 EF212,15.04,Background
2005 EL272,14.9,Schubart
2005 GY124,14.87,Background
2005 NU49,14.78,Hilda
2005 SA108,15.17,Background
2005 SC110,14.95,Hilda
2005 TC181,15.31,Hilda
2005 UF470,14.73,Hilda
2005 UP479,15.2,Background
2005 WJ57,14.4,Background
2005 WM140,14.58,Background
2006 AR63,14.86,Hilda
2006 BO223,15.74,Schubart
2006 HW6,14.37,Hilda
2006 HF83,14.88,Hilda
2006 KZ5,15.12,Background
2006 QN32,14.93,Potomac
2006 SQ72,15.33,Background
2007 TP392,15.91,Schubart
2007 WC55,15.43,Background
2008 AF114,15.12,Background
2008 CW4,15.09,Background
2008 CD50,14.04,Hilda
2008 JW7,14.83,Hilda
2008 SO66,14.88,Hilda
2008 UD40,16.03,Schubart
2008 UT42,15.84,Background
2008 WD67,15.67,Background
2009 PH5,15.05,Hilda
2009 QZ16,15.26,Schubart
2009 SA107,15.29,Background
2009 VA93,15.47,Schubart
2009 WU225,15.53,Schubart
2003 SU45,14.66,Hilda
2003 SW193,15.01,Potomac
2003 SK325,15.73,Background
2003 SO361,14.71,Background
2003 UV95,15.29,Schubart
2003 UQ261,15.16,Hilda
2003 UD345,15.13,Background
2004 RH328,14.64,Hilda
2004 TB8,14.13,Background
2004 XB19,15.28,Schubart
2004 XP87,15.36,Schubart
2004 XH135,14.8,Hilda
2005 YN58,15.71,Background
2005 YM109,15.69,Background
2005 YT177,15.67,Background
2006 AT46,15.3,Schubart
2006 BK10,15.51,Background
2006 BB11,14.95,Schubart
2006 BX182,14.71,Potomac
2008 FL1,14.89,Background
2008 FS134,14.96,Hilda
1995 SK80,15.79,Background
1995 UW50,15.57,Background
1995 WE10,15.78,Schubart
2003 SC48,14.28,Background
2003 SZ77,15.1,Hilda
2003 SN178,15.68,Schubart
2003 SY256,15.37,Schubart
2003 UG81,15.06,Background
2004 XX180,15.7,Background
2005 BY21,15.88,Schubart
2010 MB100,15.26,Background
2011 QY6,15.3,Hilda
2011 QH32,15.51,Schubart
1995 SU51,16.29,Background
2001 QC50,14.4,Background
2002 QA123,15.27,Background
2002 QW127,15.57,Background
2002 SR61,15.73,Schubart
2003 UH74,15.13,Hilda
2003 UE266,15.47,Schubart
2003 UF357,15.82,Schubart
2003 WF55,15.69,Schubart
2003 WR81,15.36,Potomac
2003 WO116,15.91,Schubart
2002 QR39,15.7,Schubart
2002 RC68,14.71,Hilda
2002 RS89,15.62,Schubart
2002 RO251,15.52,Background
2003 SE319,15.37,Hilda
2003 WG100,15.59,Schubart
2003 YP64,14.21,Potomac
2004 DN61,15.23,Background
2005 EA95,14.5,Background
2010 KL114,15.54,Schubart
2011 SG31,15.34,Background
2001 RS52,15.33,Background
2001 SB193,15.54,Schubart
2001 SC284,15.42,Background
2004 BH13,14.71,Schubart
2004 BS146,14.62,Background
2005 EO79,14.69,Potomac
2005 GF25,15.09,Potomac
2005 GW111,14.44,Potomac
2005 GO136,15.02,Background
2006 KW101,15.0,Background
2008 RX33,14.93,Hilda
2008 SX85,15.06,Hilda
2008 SG221,14.53,Hilda
2009 SC330,14.6,Background
2010 MU74,15.27,Hilda
2010 VF14,15.84,Schubart
2010 VP193,15.47,Background
2010 WN68,15.36,Schubart
2001 SH60,14.79,Hilda
2001 UC228,15.45,Schubart
2004 CN83,15.19,Background
2004 CD92,14.62,Hilda
2004 CV99,14.79,Potomac
2004 DE2,14.77,Hilda
2005 EF75,15.38,Background
2005 PY9,15.33,Background
2005 UY91,14.44,Hilda
2005 YV154,15.02,Schubart
2006 HC102,14.92,Background
2006 HH140,15.31,Background
2006 KN4,15.1,Background
2009 VQ11,15.05,Background
2009 WO150,14.96,Hilda
2010 DY42,15.1,Background
2010 OC47,15.07,Background
2011 AK14,15.48,Schubart
2011 AR47,15.62,Schubart
2011 KC4,15.06,Background
2004 EQ1,15.35,Hilda
2005 GC6,14.92,Background
2005 QF48,14.67,Hilda
2008 SG276,15.13,Hilda
2009 SR323,15.25,Background
2009 UT51,15.3,Background
2009 UG102,15.41,Schubart
2011 AO47,15.64,Schubart
2011 AM59,15.52,Schubart
2011 AA75,14.87,Background
2011 BJ28,15.66,Schubart
2011 BR103,15.86,Schubart
2011 CG34,15.4,Schubart
2011 EH21,15.44,Schubart
2011 UW313,15.42,Background
2006 QT98,15.37,Background
2006 SG135,14.77,Hilda
2006 UL54,14.97,Background
2007 TS145,15.05,Background
2008 SP126,15.28,Background
2008 TX58,15.6,Background
2008 TD71,15.27,Hilda
2008 TQ113,15.03,Background
2008 TY175,14.99,Background
2009 UX107,15.54,Schubart
2009 WE60,15.53,Hilda
2009 WY71,15.87,Background
2010 CO130,15.3,Hilda
2011 AV30,15.77,Schubart
2011 AS76,15.73,Schubart
2011 CQ18,15.48,Background
2012 FT56,14.94,Background
2005 MM51,14.29,Hilda
2005 NA13,15.01,Schubart
2005 NP21,15.38,Background
2005 NN78,15.31,Schubart
2005 PF9,15.38,Background
2005 PF19,15.49,Background
2006 RZ39,14.96,Background
2006 TW74,15.27,Schubart
2006 WD102,14.91,Hilda
2007 RB84,14.99,Schubart
2007 RZ302,14.99,Schubart
2007 TO127,15.41,Schubart
2007 TJ156,14.69,Hilda
2007 TL245,14.95,Schubart
2007 UC47,14.53,Hilda
2008 TZ54,15.44,Potomac
2008 UK75,15.06,Background
2008 WA91,15.63,Potomac
2011 CT88,15.81,Potomac
2011 DV15,15.4,Potomac
1998 SY49,14.9,Background
2005 MT42,14.96,Background
2005 NT47,15.69,Schubart
2005 NP122,14.86,Background
2005 PD16,15.28,Schubart
2006 RN37,15.51,Schubart
2006 SZ181,14.84,Hilda
2006 TE17,14.72,Schubart
2006 UG15,15.44,Hilda
2006 UK92,15.32,Schubart
2012 CD51,15.44,Schubart
2005 SC180,15.19,Background
2005 TL81,15.39,Background
2002 GQ47,14.98,Hilda
2002 SU29,15.13,Hilda
2003 UH131,15.36,Hilda
2005 SK145,15.67,Schubart
2005 UD456,14.81,Hilda
2005 UC508,15.36,Background
2005 UO518,15.97,Hilda
2009 BS38,15.1,Schubart
2009 CT33,15.27,Schubart
2010 KK63,15.74,Schubart
1998 BU19,15.47,Schubart
2004 SG45,15.01,Background
2004 TT28,14.82,Hilda
2004 TE69,14.71,Hilda
2004 TG150,15.53,Schubart
2004 TE156,15.75,Schubart
2004 TB184,14.87,Hilda
2004 TE224,15.51,Schubart
2004 TK232,15.37,Background
2005 TA133,15.03,Schubart
2005 UH140,15.49,Background
2005 UN318,15.35,Schubart
2005 UV412,15.85,Background
2005 UX476,15.35,Background
2005 VD56,15.21,Hilda
2005 WF26,15.74,Schubart
2005 WL33,14.76,Potomac
2005 WS109,15.42,Schubart
2005 WY128,15.8,Background
2005 WZ155,15.25,Hilda
2005 WX199,15.22,Hilda
2005 YG62,15.01,Schubart
2005 YN196,15.86,Background
2006 AO84,15.27,Hilda
2006 BY50,14.99,Schubart
2006 BL183,15.49,Hilda
2006 UA3,15.14,Background
2006 WY150,15.03,Background
2007 CR45,15.24,Potomac
2007 CQ57,15.24,Hilda
2007 EW92,15.66,Schubart
2007 UW105,14.92,Potomac
2008 CY53,14.79,Hilda
2008 CU64,15.13,Background
2008 CB136,15.49,Schubart
2008 CW205,15.66,Background
2008 DN52,15.08,Hilda
2008 DG79,15.01,Background
2008 EF29,15.15,Schubart
2008 GS104,15.05,Hilda
2009 CK49,14.7,Potomac
2009 KS2,14.84,Background
2010 EG139,15.28,Hilda
2004 RV239,15.8,Schubart
2004 TU62,15.74,Schubart
2004 TG285,16.06,Background
2004 VQ21,15.06,Potomac
2004 VM38,16.33,Background
2004 VB44,15.72,Background
2004 VF52,15.68,Schubart
2004 VQ72,15.35,Schubart
2004 VB81,15.4,Background
2004 XH,14.79,Background
2005 UY189,15.55,Schubart
2005 UU266,15.78,Schubart
2005 WL39,15.64,Background
2005 WJ166,16.23,Background
2005 WS197,15.5,Background
2005 XA23,15.69,Background
2005 YL179,15.4,Background
2006 AU70,15.85,Schubart
2006 CZ66,15.43,Hilda
2008 ER130,15.63,Background
2008 FR83,15.35,Schubart
2008 FA107,15.64,Background
2012 SA37,15.06,Schubart
2003 SK33,15.66,Background
2003 UT18,15.27,Potomac
2004 DP57,14.76,Background
2004 TF162,14.94,Background
2004 XT70,15.07,Potomac
2006 BD103,16.21,Schubart
2006 GS3,15.19,Background
2008 DS72,14.9,Hilda
2010 RN37,15.29,Schubart
2011 SZ137,14.54,Background
2012 UY74,15.94,Schubart
2003 SM157,15.43,Background
2003 SL207,15.15,Background
2003 SR227,15.17,Potomac
2003 UU53,15.05,Hilda
2003 UC272,15.96,Schubart
2004 XF183,15.94,Schubart
2005 EP240,14.9,Background
2006 BS162,15.9,Background
2006 BE224,15.19,Background
2006 CP67,15.28,Schubart
2010 PN42,14.83,Background
2011 UD190,15.76,Background
2011 UK254,15.65,Background
2011 UA335,15.38,Background
2001 RN145,15.34,Guinevere
2005 EY235,15.41,Schubart
2006 ER56,14.49,Background
2006 HU115,15.56,Schubart
2006 JP37,15.29,Background
2008 RH11,15.04,Schubart
2009 WR18,15.21,Schubart
2011 UA315,16.16,Schubart
Maathai,15.6,Background
2006 FJ13,15.64,Schubart
2008 RY126,14.7,Background
2010 WG13,14.3,Background
2010 WQ72,15.17,Background
2011 UU401,16.02,Background
2012 BT151,14.66,Background
2005 EP183,15.87,Background
2005 GP103,15.9,Schubart
2005 JM52,14.98,Potomac
2008 RY123,15.85,Schubart
2009 UN140,14.71,Background
2003 SR261,15.95,Background
2007 UQ30,15.03,Potomac
2008 RU121,15.49,Potomac
2013 EJ74,15.36,Background
2006 QZ79,15.13,Hilda
2006 RX11,15.08,Background
2006 SF74,15.28,Schubart
2006 SC128,15.38,Schubart
2006 SP202,15.07,Background
2006 SO246,15.39,Background
2006 TX29,15.54,Schubart
2006 TL68,15.37,Schubart
2007 TT1,15.18,Hilda
2013 CP,15.05,Hilda
1998 SE53,15.26,Hilda
2005 NU,15.18,Background
2005 QB68,15.09,Background
2005 RB6,14.82,Hilda
2006 SL257,15.19,Background
2006 SS327,15.51,Schubart
2006 UA34,15.34,Background
2006 UE286,15.81,Schubart
2007 TO362,15.42,Background
2010 XT80,14.96,Background
1997 TQ11,15.29,Background
1998 SA51,15.88,Schubart
2005 NY68,14.84,Potomac
2005 PG7,15.09,Hilda
2005 QB34,15.72,Schubart
2005 QS180,15.61,Schubart
2005 RE42,15.58,Background
2005 VF44,15.31,Schubart
2006 UM240,15.92,Schubart
2009 AN46,15.23,Background
2011 GJ83,14.75,Background
2005 QF43,15.3,Background
2005 QE88,16.36,Background
2005 SR15,15.53,Schubart
2005 SG286,15.75,Background
2005 TH120,15.26,Schubart
2005 UA434,15.42,Background
2005 WM163,14.94,Background
2005 XT8,15.62,Schubart
2006 VO116,15.36,Background
2008 DS36,15.61,Background
2009 BC27,15.51,Background
2009 DZ127,15.65,Schubart
2009 DS141,15.62,Background
2010 GU28,14.43,Potomac
2011 GG79,15.73,Background
2011 KG9,15.44,Schubart
2012 TW9,14.91,Hilda
2013 QC47,15.42,Background
2005 QT70,15.23,Hilda
2005 SB133,15.14,Hilda
2005 SR238,15.24,Schubart
2005 UF128,15.83,Guinevere
2005 UD135,14.89,Hilda
2005 UV167,16.04,Schubart
2005 UZ226,15.19,Background
2005 UX254,15.02,Background
2005 UU380,15.96,Background
2005 UD424,15.49,Potomac
2005 WJ150,15.14,Potomac
2005 YQ60,15.7,Background
2006 XZ16,15.15,Francette
2007 VK243,15.41,Schubart
2008 AR8,15.36,Background
2008 AZ91,15.4,Hilda
2008 CU103,15.79,Background
2008 CL205,15.57,Background
2008 DE56,15.66,Schubart
2009 DL22,15.54,Schubart
2009 EF26,15.4,Background
2009 FR40,15.0,Hilda
2011 HB57,15.19,Potomac
2005 UF403,15.67,Schubart
2005 UN513,16.09,Schubart
2005 UT513,16.61,Background
2005 VF88,15.16,Potomac
2005 VD135,15.75,Schubart
2005 WQ45,15.73,Background
2005 WF101,15.38,Background
2006 EU73,14.78,Potomac
2006 XF58,15.92,Background
2007 BR18,15.08,Hilda
2007 DA40,15.56,Background
2008 EZ157,15.75,Background
2004 TP155,15.37,Hilda
2005 WM77,16.07,Schubart
2005 YS57,15.97,Potomac
2007 BN14,15.85,Schubart
2007 BV28,16.06,Schubart
2007 CK34,15.22,Hilda
2007 DE45,16.19,Schubart
2008 FD132,15.5,Potomac
2012 ST24,15.81,Background
2012 TG106,15.77,Background
2012 TQ154,15.84,Schubart
2012 VG3,15.47,Schubart
2012 VG92,15.62,Background
2012 VM92,15.62,Schubart
2013 BL60,14.78,Schubart
2013 GH79,14.43,Potomac
2004 TS32,15.73,Potomac
2004 TZ274,15.35,Hilda
2006 AO95,15.97,Schubart
2006 BG42,16.05,Background
2006 BV50,15.84,Schubart
2009 BA47,14.77,Hilda
2010 BB94,15.69,Schubart
2012 UV122,15.63,Background
2012 WO6,15.98,Schubart
2012 XD2,15.2,Hilda
2001 RE14,15.24,Schubart
2001 SY292,14.77,Hilda
2002 SU33,14.87,Hilda
2004 VA79,15.35,Background
2006 UT46,14.94,Background
2007 HN31,15.45,Background
2009 JX2,15.6,Hilda
2009 UW7,15.28,Background
2011 SH30,15.37,Background
2011 SX83,15.38,Background
2012 UU148,16.46,Background
2012 VO101,16.53,Schubart
2012 WU,15.97,Background
2003 SY93,15.14,Hilda
2006 HA51,14.83,Background
2007 EU195,15.09,Background
2009 SZ292,14.96,Hilda
2013 CZ59,15.25,Schubart
2013 CR101,14.7,Schubart
2013 CW118,15.05,Hilda
2013 CN135,14.94,Background
2013 VT14,14.7,Hilda
2014 AN8,16.11,Background
2005 CC30,15.07,Schubart
2006 EV15,15.16,Background
2006 GZ25,15.57,Schubart
2006 HV62,15.6,Schubart
2007 UD37,15.04,Hilda
2012 AQ13,14.93,Hilda
2013 CW29,15.35,Schubart
2013 CH91,15.38,Background
2013 CE141,15.52,Schubart
2013 CS198,15.33,Hilda
2013 CJ222,15.62,Schubart
2013 EY14,15.47,Background
2013 GW80,14.92,Potomac
1999 YH15,15.41,Background
2005 YS121,16.01,Background
2006 HV33,15.53,Background
2006 SH170,15.16,Schubart
2013 EF49,15.81,Schubart
2013 EC80,15.59,Schubart
1999 TV241,15.66,Background
2006 KE24,15.59,Schubart
2006 PZ10,15.78,Schubart
2006 QK2,15.26,Schubart
2007 RP137,15.55,Schubart
2007 TQ124,15.52,Background
2007 TE244,14.67,Hilda
2007 TP332,16.0,Background
2007 TG357,15.64,Background
2007 VC40,15.61,Background
2007 VH173,15.63,Background
2007 VY180,15.25,Schubart
2008 SB196,15.68,Background
2008 SM309,15.85,Schubart
2009 AZ3,14.89,Hilda
2012 HQ31,15.1,Background
2013 EE110,15.17,Schubart
2013 GU132,15.97,Schubart
1999 TX295,15.47,Schubart
1999 VH88,15.97,Schubart
1999 VW116,16.09,Schubart
1999 WE21,15.98,Background
2006 PX27,15.82,Background
2006 QP54,15.34,Schubart
2007 RP96,15.03,Background
2007 RR105,15.31,Schubart
2007 RY194,14.95,Background
2007 TJ12,15.67,Background
Tsawout,15.75,Potomac
2007 TT162,15.69,Schubart
2007 TO260,15.47,Schubart
2007 TA275,15.75,Schubart
2007 TL364,15.86,Background
2007 TV385,15.01,Hilda
2007 TG406,15.52,Schubart
2007 UE9,15.61,Schubart
2007 UM132,15.22,Schubart
2007 UZ141,15.75,Schubart
2007 VE328,15.5,Background
2008 SL59,15.63,Schubart
2008 VE11,15.45,Potomac
2008 VH70,15.33,Background
2009 UJ73,15.09,Hilda
2009 XZ15,15.15,Hilda
2010 CH70,15.43,Hilda
2010 CB83,15.58,Schubart
2012 DL88,15.55,Schubart
2013 EX85,15.44,Background
2014 HL13,15.43,Background
2014 HT42,15.72,Background
1999 TJ264,15.86,Background
1999 VA113,14.78,Hilda
1999 XQ139,15.84,Background
2006 PO32,14.61,Hilda
2006 QL69,15.57,Schubart
2006 QK82,15.44,Schubart
2006 RU57,15.77,Schubart
2006 SW350,15.29,Background
2006 UY2,15.22,Schubart
2007 RG111,15.85,Schubart
2007 RM312,15.37,Schubart
2007 TN401,15.85,Schubart
2007 TH437,15.72,Schubart
2008 AH7,15.11,Potomac
2013 NN1,14.99,Potomac
2005 NZ77,15.25,Background
2006 QQ32,14.82,Background
2006 RZ23,15.19,Background
2006 SN119,15.31,Background
2006 SV122,15.3,Background
2006 SY254,15.64,Background
2006 SU301,15.26,Schubart
2006 SO339,15.06,Background
2006 TF94,15.57,Background
2006 UJ64,15.21,Hilda
2006 UZ123,15.81,Schubart
2006 UA195,15.39,Background
2007 VD176,15.61,Background
2007 VJ282,16.18,Background
2007 WV,15.19,Background
2007 XH30,15.56,Schubart
2013 RG57,15.48,Hilda
1998 TO24,15.79,Schubart
1999 VH154,16.52,Background
2001 AQ49,15.66,Schubart
2005 ME30,16.09,Francette
2005 NR67,15.71,Schubart
2006 SR22,15.19,Hilda
2006 SH87,16.2,Schubart
2006 SF201,15.83,Background
2006 SA407,16.09,Schubart
2006 UY50,15.86,Schubart
2006 UY54,15.26,Francette
2006 UV113,15.81,Background
2006 WN5,15.93,Background
2006 WC152,15.81,Schubart
2008 DT15,15.14,Background
2011 HS93,15.36,Background
2013 RQ88,15.47,Hilda
2014 HQ12,15.98,Background
2014 HL41,15.11,Schubart
2005 NH14,15.7,Schubart
2005 ND37,15.85,Guinevere
2005 NC68,15.67,Hilda
2005 QG116,15.82,Background
2005 SZ187,15.82,Schubart
2005 WX21,15.38,Potomac
2006 SY404,15.81,Background
2006 TD31,15.91,Schubart
2006 UQ35,16.02,Schubart
2006 UP90,15.69,Background
2006 VO16,15.94,Schubart
2006 WY24,15.51,Background
2006 WR93,15.45,Background
2007 BQ34,15.6,Potomac
2007 CQ32,14.98,Background
2007 VC311,15.7,Background
2008 AF59,15.97,Background
2008 EJ90,15.93,Background
2009 ER30,15.41,Schubart
2009 HC4,15.38,Background
2011 KO37,15.09,Hilda
2012 PA6,15.1,Background
2013 PS14,15.98,Schubart
2013 PO32,15.52,Background
2013 PF68,15.92,Background
2013 QJ84,15.08,Potomac
2013 TY51,15.55,Schubart
2013 WP21,15.01,Background
2014 QU434,15.33,Background
2014 RB31,14.94,Background
2014 SH313,15.54,Schubart
2005 TK16,16.01,Background
2005 VV97,15.57,Hilda
