idhere,H_mag,family
2002 PQ51,13.39,Background
von Wrangel,14.15,Background
1998 HS136,12.73,Background
Geraintjones,12.73,Hilda
2000 KE9,14.17,Background
2000 KY51,13.15,Background
2000 QQ173,13.14,Potomac
2001 OC61,14.04,Background
2001 PR2,13.28,Background
Alessiosquilloni,13.22,Potomac
2001 QD14,13.63,Background
2001 QZ17,13.13,Schubart
2001 QW127,13.14,Hilda
Honig,13.32,Background
2002 NO18,13.18,Background
2002 QX40,12.95,Background
2002 RU61,14.27,Schubart
1998 FR71,13.56,Background
2000 PA12,12.93,Background
2000 QN244,13.77,Background
2000 SB81,13.12,Background
2000 SM112,13.05,Hilda
2000 SJ115,12.84,Background
2000 SN284,13.22,Background
2000 SA366,13.17,Background
Marchini,13.67,Background
2001 SH142,14.0,Background
2001 TZ84,14.08,Schubart
2001 UT83,13.76,Background
2001 UK113,13.6,Schubart
2000 SE189,13.37,Hilda
2000 SR202,14.22,Schubart
2000 SP307,13.25,Hilda
2000 UB59,13.65,Background
2001 VW22,13.96,Schubart
Oranienstein,13.52,Background
1991 TA9,14.25,Background
Kamerlingh,13.63,Background
1995 EW4,14.5,Background
1998 TB33,13.03,Background
1998 VY19,12.45,Background
1998 WN35,13.14,Background
1999 VL148,14.01,Hilda
1999 XB235,13.54,Background
2000 AX180,12.74,Background
2000 AG251,13.55,Background
Noviello,12.89,Hilda
2000 SH16,13.4,Hilda
2000 SW75,13.41,Potomac
2000 SM77,14.35,Schubart
2000 SU176,13.2,Hilda
2000 SS223,14.21,Schubart
2000 UF46,14.07,Background
2000 VV39,14.41,Background
2000 YL91,12.85,Background
2001 BW35,12.99,Background
2001 DT89,13.79,Background
2001 OT56,13.39,Background
2001 OY60,14.37,Schubart
2001 UY149,14.9,Background
2001 XN144,14.17,Schubart
2001 XO240,14.62,Background
2002 EW97,13.22,Background
Ianwong,13.14,Background
2002 PP55,13.16,Hilda
2002 RF12,14.01,Schubart
De Curtis,13.69,Background
Madler,13.46,Background
1998 KZ12,13.72,Background
1998 XS73,12.17,Hilda
1999 CR109,13.27,Hilda
2000 CQ124,13.74,Background
2000 ED70,12.87,Hilda
2000 JJ21,12.82,Hilda
2000 LH33,12.8,Hilda
2001 DV70,13.39,Schubart
2001 FL24,13.16,Potomac
2001 PM14,13.54,Hilda
2001 QM98,13.6,Hilda
2002 OM20,13.16,Background
1992 EZ10,13.5,Background
1995 WV35,13.94,Background
1998 BX,13.29,Schubart
2002 LK36,13.19,Potomac
2002 MH2,13.73,Hilda
2002 NT36,14.13,Hilda
2002 NZ43,13.01,Hilda
2002 NZ47,13.3,Hilda
2002 PV1,13.39,Background
1981 ET6,13.44,Potomac
Delphi,14.92,Background
1997 EY5,14.16,Schubart
1998 HP150,13.67,Background
1998 JT4,13.71,Background
2000 JX73,13.09,Background
2000 QY14,13.85,Background
2000 QC50,13.14,Hilda
2000 QK57,13.38,Background
2000 SA51,13.54,Background
2000 ST222,13.02,Background
2001 OH76,13.99,Background
2001 QR174,14.08,Potomac
2001 SG126,13.02,Hilda
2001 SZ250,13.36,Background
2001 SM251,14.33,Background
2001 SH324,12.99,Hilda
2001 TQ142,13.41,Background
2001 TR147,13.52,Hilda
2001 TV235,13.3,Hilda
2002 NQ13,13.98,Background
2002 NA28,13.28,Background
2002 RM45,13.75,Background
2002 RF51,14.14,Hilda
2003 OR22,13.1,Background
2003 PN6,12.91,Background
Isakowitz,13.95,Background
1981 EM20,14.38,Hilda
1981 EC24,14.21,Background
1993 TT9,14.15,Background
1997 TL16,14.24,Background
1998 KU29,13.6,Background
1998 SC125,13.57,Background
2000 RW68,13.65,Schubart
2000 SG34,13.52,Background
2000 SL191,13.58,Hilda
2000 SN238,13.22,Background
2000 SP238,13.03,Background
2001 TL98,13.59,Schubart
2001 TG218,14.09,Hilda
2001 TA222,13.66,Hilda
2001 UC77,13.88,Hilda
2001 UE96,14.55,Background
2001 UN157,14.35,Background
2001 UR166,14.29,Background
2001 VS8,13.93,Hilda
Jean-Claude,13.94,Background
2002 RH12,13.28,Background
1981 EO29,14.52,Background
1988 SL2,13.91,Schubart
1988 SQ2,13.42,Background
1998 DC2,13.75,Background
1999 XO213,13.58,Background
2000 CL9,13.18,Hilda
2000 SG23,14.0,Background
2000 SO145,13.44,Background
2000 TM4,14.43,Schubart
2001 BT65,12.61,Hilda
2001 CX15,13.14,Potomac
2001 DZ25,13.62,Background
2001 FV69,13.04,Hilda
Post,14.31,Background
2002 EB70,13.99,Background
2004 CV2,13.64,Background
Buratti,14.13,Hilda
1988 RO12,13.65,Background
1993 FQ15,13.86,Hilda
1999 DN,13.45,Hilda
1999 FU44,12.92,Hilda
2000 CB54,13.21,Hilda
2000 DS8,14.29,Schubart
2000 DC45,13.63,Background
2000 DV76,14.16,Background
2000 EX14,13.53,Hilda
2000 GS53,13.23,Background
2000 GP147,13.72,Background
2001 DO,13.73,Background
2001 DN34,13.61,Hilda
2001 DB108,13.53,Background
2003 QP12,12.89,Background
2003 SU101,13.2,Potomac
Toscanos,13.8,Background
1988 SR2,13.79,Background
1999 AQ35,13.96,Hilda
2000 GU62,13.78,Schubart
2000 QG199,13.76,Background
2001 LM,13.95,Hilda
2001 QC20,13.64,Background
2001 RV52,13.89,Background
2002 NS52,13.55,Schubart
Kenlevin,14.61,Hilda
2002 PB78,12.99,Background
1981 EJ21,14.29,Hilda
Demosthenes,14.38,Schubart
Jeanbailly,14.04,Background
Monceau,14.64,Background
1998 RP72,13.96,Hilda
1999 RY41,13.73,Background
2000 BO17,13.61,Background
2000 EB43,13.77,Background
2000 HH98,14.47,Background
2000 JQ40,13.26,Hilda
2000 SP224,13.4,Background
2001 MC,14.1,Background
2001 MJ16,14.05,Background
2001 PR6,14.27,Background
2001 PR61,14.34,Background
2001 QE69,13.41,Hilda
2001 QF289,14.44,Hilda
2001 SN49,14.23,Background
2001 SA136,14.46,Background
2001 TX176,14.11,Hilda
2001 UT76,13.68,Background
2001 UX141,14.11,Hilda
2002 CA94,13.2,Hilda
2002 EO139,13.57,Background
2002 GA22,13.72,Background
2002 GG114,13.61,Background
2002 ND53,14.76,Background
2002 OM3,13.71,Hilda
2002 PK44,14.17,Schubart
2002 PS56,13.8,Background
2002 PO101,14.28,Potomac
2002 QG8,13.95,Background
2002 RN121,13.54,Hilda
2002 ST23,13.73,Background
Rauracia,13.99,Potomac
2003 BQ1,14.23,Hilda
2003 HR29,13.94,Hilda
2003 OX21,13.76,Schubart
2003 OB28,13.68,Background
2003 QP51,13.75,Background
2003 QE57,13.9,Background
2003 QA73,13.77,Background
2003 SU13,14.42,Schubart
2003 SK18,13.28,Hilda
2003 SF81,13.47,Background
2003 SZ215,14.03,Background
2003 SJ271,14.01,Hilda
2003 TV6,12.78,Background
2003 TF16,14.01,Background
2003 YH47,13.92,Potomac
2003 YE58,13.68,Background
2004 BN12,14.54,Background
2004 BN38,14.65,Schubart
2004 EC34,14.38,Background
2004 OF3,13.77,Background
2004 OT6,14.17,Background
2004 PU1,14.18,Background
2004 PG11,14.06,Hilda
2004 PW60,13.65,Hilda
2004 RF176,13.67,Potomac
2004 TU221,13.07,Hilda
2005 EC205,14.84,Background
Zambujal,13.33,Background
1992 EZ13,14.19,Hilda
2000 EU11,13.32,Hilda
2002 EX6,14.38,Hilda
2002 EX84,14.03,Schubart
2002 ES112,14.18,Schubart
2002 GD23,14.04,Background
2002 GJ129,14.17,Background
2002 GN171,13.86,Background
2002 JH12,14.14,Background
2002 JD53,13.31,Hilda
2002 KF2,14.09,Background
2003 KB11,14.59,Background
2003 QY75,13.6,Background
2004 HO59,14.13,Background
2004 ND17,14.35,Schubart
2004 PX53,14.18,Background
2005 NU17,13.95,Background
1995 YD5,14.23,Background
1996 VK9,13.96,Hilda
1998 AX1,14.8,Schubart
1998 VM11,13.9,Background
1998 YM31,13.87,Hilda
1999 CV29,14.0,Hilda
1999 FA2,14.38,Schubart
2001 HS41,13.8,Hilda
2001 OR24,14.26,Schubart
2001 QD18,13.82,Hilda
2001 SP261,14.31,Schubart
2001 UO56,14.07,Background
2001 VZ22,13.94,Background
2002 OV21,14.61,Hilda
2002 PW66,14.15,Background
2002 PY118,13.88,Background
2002 PM124,14.45,Schubart
2002 RP94,13.95,Schubart
2002 UJ16,14.32,Background
2003 NW2,13.28,Potomac
2003 QA35,14.39,Background
2003 QY39,14.1,Schubart
2003 RP9,13.68,Potomac
2003 SR39,14.04,Hilda
2003 SN52,15.39,Schubart
2003 SS65,14.02,Background
2003 ST150,13.86,Background
2003 SL259,14.84,Schubart
2003 WD111,14.83,Background
2004 MS,13.96,Background
2004 RT11,14.23,Background
2004 SQ20,14.68,Schubart
2004 TR256,14.9,Hilda
2004 TP296,15.23,Background
2004 VZ70,14.45,Background
2005 QS13,14.68,Schubart
1998 HP43,14.23,Background
2000 QT59,14.07,Background
2000 SE19,13.99,Background
2001 OL58,14.36,Background
2001 RM7,14.68,Background
2001 RT111,14.61,Background
2001 SW273,14.48,Schubart
2002 RO95,14.55,Schubart
Notkin,14.51,Background
2003 SY90,14.9,Background
2003 UZ10,15.11,Background
2003 UM112,14.54,Hilda
2004 VU53,15.15,Background
Stephaniebarnes,14.21,Potomac
2005 CB68,14.18,Hilda
2005 YD54,14.77,Background
1998 RT5,14.14,Schubart
1999 RS177,14.35,Schubart
1999 TH191,13.65,Hilda
1999 UV44,14.23,Schubart
1999 VT37,13.87,Background
1999 XP61,14.3,Schubart
2000 YC37,13.7,Background
1997 PW4,14.37,Background
1997 UL19,14.77,Background
1998 QK6,13.91,Background
1998 SF122,14.21,Background
1998 SM130,14.19,Background
1998 SW130,14.24,Background
1999 TK10,14.3,Background
1999 TQ97,13.63,Hilda
1999 VL59,14.48,Background
1999 YD25,14.17,Background
2000 GX173,13.66,Hilda
2001 RL11,13.42,Potomac
2002 EW58,13.54,Background
2002 EB136,14.34,Hilda
2002 GY69,14.2,Schubart
2002 KM15,14.67,Schubart
2002 TE13,14.78,Background
2003 GE55,14.63,Schubart
2003 SB45,14.96,Background
2003 WJ113,14.56,Background
2004 KK7,14.47,Schubart
2004 LX16,14.29,Background
2004 SY5,14.1,Background
2005 MB43,14.8,Background
2005 MV49,14.99,Schubart
2005 NE53,14.56,Background
2005 NC54,14.85,Background
2005 PC2,13.87,Hilda
2005 PD19,14.74,Schubart
2005 PT20,14.34,Background
2005 QS48,13.1,Background
2005 QC94,14.0,Background
2005 QR165,14.12,Background
2005 SL262,14.45,Hilda
2005 TC86,13.95,Potomac
2005 WD6,14.11,Potomac
2005 WA7,14.68,Background
1993 FT57,14.79,Schubart
1997 PW,15.21,Background
1998 SA77,14.38,Guinevere
1998 WY37,14.06,Schubart
1998 YH20,14.98,Background
1999 AD10,14.38,Background
1999 XV255,14.6,Background
2000 CD104,13.62,Hilda
2000 DG88,13.89,Hilda
2002 GH129,14.6,Schubart
2005 TN125,14.56,Schubart
2005 UO20,13.92,Background
2005 VN39,13.9,Hilda
1998 TO11,15.31,Schubart
2000 DP99,14.22,Background
2000 EW5,14.84,Schubart
2004 RH107,14.5,Background
2005 VQ106,15.1,Schubart
2000 FU52,14.36,Background
2004 RO71,14.07,Hilda
2004 RT318,14.4,Hilda
2004 TG123,13.99,Hilda
2004 TN126,14.21,Background
2005 UM20,14.51,Background
2005 UG171,15.09,Background
2000 DC27,14.56,Schubart
2001 PN26,14.49,Schubart
2001 QT50,14.12,Potomac
2002 RW12,14.15,Background
2002 RM39,14.98,Background
2002 RP42,14.28,Hilda
2003 QV25,13.99,Hilda
2003 UM263,14.61,Hilda
Sviderskiene,15.11,Schubart
2004 TK186,14.69,Schubart
2004 TL282,14.54,Background
2005 TN107,14.74,Schubart
2001 QR95,14.72,Background
2001 QF127,14.44,Background
2001 SA15,14.23,Background
2001 SE182,14.47,Background
2002 RT42,15.05,Schubart
2003 QO46,13.72,Background
2003 QW88,13.54,Hilda
2003 UT281,14.65,Background
2004 TK140,14.69,Schubart
2006 AR68,15.51,Background
1998 BO28,14.5,Hilda
1998 VK48,14.58,Background
2000 LG32,13.47,Background
2000 OE9,14.62,Background
2000 OK33,14.17,Hilda
2001 OP94,14.75,Background
2001 QN221,14.11,Hilda
2001 RC139,13.95,Background
2001 SJ122,14.2,Background
2002 PH94,14.32,Hilda
2003 TZ14,14.63,Background
2006 EE14,14.83,Background
2001 SM127,14.31,Background
2001 SZ257,14.58,Background
2005 WK97,15.02,Schubart
2007 GA51,13.64,Background
2002 JM23,14.28,Hilda
