idhere,H_mag
2007 TP392,15.91
2007 WC55,15.43
2008 AF114,15.12
2008 CW4,15.09
2008 CD50,14.04
2008 JW7,14.83
2008 SO66,14.88
2008 UD40,16.03
2008 UT42,15.84
2008 WD67,15.67
2009 PH5,15.05
2009 QZ16,15.26
2009 SA107,15.29
2009 VA93,15.47
2009 WU225,15.53
2003 SU45,14.66
2003 SW193,15.01
2003 SK325,15.73
2003 SO361,14.71
2003 UV95,15.29
2003 UQ261,15.16
2003 UD345,15.13
2004 RH328,14.64
2004 TB8,14.13
2004 XB19,15.28
2004 XP87,15.36
2004 XH135,14.8
2005 YN58,15.71
2005 YM109,15.69
2005 YT177,15.67
2006 AT46,15.3
2006 BK10,15.51
2006 BB11,14.95
2006 BX182,14.71
2008 FL1,14.89
2008 FS134,14.96
1995 SK80,15.79
1995 UW50,15.57
1995 WE10,15.78
2003 SC48,14.28
2003 SZ77,15.1
2003 SN178,15.68
2003 SY256,15.37
2003 UG81,15.06
2004 XX180,15.7
2005 BY21,15.88
2010 MB100,15.26
2011 QY6,15.3
2011 QH32,15.51
1995 SU51,16.29
2001 QC50,14.4
2002 QA123,15.27
2002 QW127,15.57
2002 SR61,15.73
2003 UH74,15.13
2003 UE266,15.47
2003 UF357,15.82
2003 WF55,15.69
2003 WR81,15.36
2003 WO116,15.91
2002 QR39,15.7
2002 RC68,14.71
2002 RS89,15.62
2002 RO251,15.52
2003 SE319,15.37
2003 WG100,15.59
2003 YP64,14.21
2004 DN61,15.23
2005 EA95,14.5
2010 KL114,15.54
2011 SG31,15.34
2001 RS52,15.33
2001 SB193,15.54
2001 SC284,15.42
2004 BH13,14.71
2004 BS146,14.62
2005 EO79,14.69
2005 GF25,15.09
2005 GW111,14.44
2005 GO136,15.02
2006 KW101,15.0
2008 RX33,14.93
2008 SX85,15.06
2008 SG221,14.53
2009 SC330,14.6
2010 MU74,15.27
2010 VF14,15.84
2010 VP193,15.47
2010 WN68,15.36
2001 SH60,14.79
2001 UC228,15.45
2004 CN83,15.19
2004 CD92,14.62
2004 CV99,14.79
2004 DE2,14.77
2005 EF75,15.38
2005 PY9,15.33
2005 UY91,14.44
2005 YV154,15.02
2006 HC102,14.92
2006 HH140,15.31
2006 KN4,15.1
2009 VQ11,15.05
2009 WO150,14.96
2010 DY42,15.1
2010 OC47,15.07
2011 AK14,15.48
2011 AR47,15.62
2011 KC4,15.06
2004 EQ1,15.35
2005 GC6,14.92
2005 QF48,14.67
2008 SG276,15.13
2009 SR323,15.25
2009 UT51,15.3
2009 UG102,15.41
2011 AO47,15.64
2011 AM59,15.52
2011 AA75,14.87
2011 BJ28,15.66
2011 BR103,15.86
2011 CG34,15.4
2011 EH21,15.44
2011 UW313,15.42
2006 QT98,15.37
2006 SG135,14.77
2006 UL54,14.97
2007 TS145,15.05
2008 SP126,15.28
2008 TX58,15.6
2008 TD71,15.27
2008 TQ113,15.03
2008 TY175,14.99
2009 UX107,15.54
2009 WE60,15.53
2009 WY71,15.87
2010 CO130,15.3
2011 AV30,15.77
2011 AS76,15.73
2011 CQ18,15.48
2012 FT56,14.94
2005 MM51,14.29
2005 NA13,15.01
2005 NP21,15.38
2005 NN78,15.31
2005 PF9,15.38
2005 PF19,15.49
2006 RZ39,14.96
2006 TW74,15.27
2006 WD102,14.91
2007 RB84,14.99
2007 RZ302,14.99
2007 TO127,15.41
2007 TJ156,14.69
2007 TL245,14.95
2007 UC47,14.53
2008 TZ54,15.44
2008 UK75,15.06
2008 WA91,15.63
2011 CT88,15.81
2011 DV15,15.4
1998 SY49,14.9
2005 MT42,14.96
2005 NT47,15.69
2005 NP122,14.86
2005 PD16,15.28
2006 RN37,15.51
2006 SZ181,14.84
2006 TE17,14.72
2006 UG15,15.44
2006 UK92,15.32
2012 CD51,15.44
2005 SC180,15.19
2005 TL81,15.39
2002 GQ47,14.98
2002 SU29,15.13
2003 UH131,15.36
2005 SK145,15.67
2005 UD456,14.81
2005 UC508,15.36
2005 UO518,15.97
2009 BS38,15.1
2009 CT33,15.27
2010 KK63,15.74
1998 BU19,15.47
2004 SG45,15.01
2004 TT28,14.82
2004 TE69,14.71
2004 TG150,15.53
2004 TE156,15.75
2004 TB184,14.87
2004 TE224,15.51
2004 TK232,15.37
2005 TA133,15.03
2005 UH140,15.49
2005 UN318,15.35
2005 UV412,15.85
2005 UX476,15.35
2005 VD56,15.21
2005 WF26,15.74
2005 WL33,14.76
2005 WS109,15.42
2005 WY128,15.8
2005 WZ155,15.25
2005 WX199,15.22
2005 YG62,15.01
2005 YN196,15.86
2006 AO84,15.27
2006 BY50,14.99
2006 BL183,15.49
2006 UA3,15.14
2006 WY150,15.03
2007 CR45,15.24
2007 CQ57,15.24
2007 EW92,15.66
2007 UW105,14.92
2008 CY53,14.79
2008 CU64,15.13
2008 CB136,15.49
2008 CW205,15.66
2008 DN52,15.08
2008 DG79,15.01
2008 EF29,15.15
2008 GS104,15.05
2009 CK49,14.7
2009 KS2,14.84
2010 EG139,15.28
2004 RV239,15.8
2004 TU62,15.74
2004 TG285,16.06
2004 VQ21,15.06
2004 VB44,15.72
2004 VF52,15.68
2004 VQ72,15.35
2004 VB81,15.4
2004 XH,14.79
2005 UY189,15.55
2005 UU266,15.78
2005 WL39,15.64
2005 WJ166,16.23
2005 WS197,15.5
2005 XA23,15.69
2005 YL179,15.4
2006 AU70,15.85
2006 CZ66,15.43
2008 ER130,15.63
2008 FR83,15.35
2008 FA107,15.64
2012 SA37,15.06
2003 SK33,15.66
2003 UT18,15.27
2004 DP57,14.76
2004 TF162,14.94
2004 XT70,15.07
2006 BD103,16.21
2006 GS3,15.19
2008 DS72,14.9
2010 RN37,15.29
2011 SZ137,14.54
2012 UY74,15.94
2003 SM157,15.43
2003 SL207,15.15
2003 SR227,15.17
2003 UU53,15.05
2003 UC272,15.96
2004 XF183,15.94
2005 EP240,14.9
2006 BS162,15.9
2006 BE224,15.19
2006 CP67,15.28
2010 PN42,14.83
2011 UD190,15.76
2011 UK254,15.65
2011 UA335,15.38
2001 RN145,15.34
2005 EY235,15.41
2006 ER56,14.49
2006 HU115,15.56
2006 JP37,15.29
2008 RH11,15.04
2009 WR18,15.21
2011 UA315,16.16
Maathai,15.6
2006 FJ13,15.64
2008 RY126,14.7
2010 WG13,14.3
2010 WQ72,15.17
2011 UU401,16.02
2012 BT151,14.66
2005 EP183,15.87
2005 GP103,15.9
2005 JM52,14.98
2008 RY123,15.85
2009 UN140,14.71
2003 SR261,15.95
2007 UQ30,15.03
2008 RU121,15.49
2013 EJ74,15.36
2006 QZ79,15.13
2006 RX11,15.08
2006 SF74,15.28
2006 SC128,15.38
2006 SP202,15.07
2006 SO246,15.39
2006 TX29,15.54
2006 TL68,15.37
2007 TT1,15.18
2013 CP,15.05
1998 SE53,15.26
2005 NU,15.18
2005 QB68,15.09
2005 RB6,14.82
2006 SL257,15.19
2006 SS327,15.51
2006 UA34,15.34
2006 UE286,15.81
2007 TO362,15.42
2010 XT80,14.96
1997 TQ11,15.29
1998 SA51,15.88
2005 NY68,14.84
2005 PG7,15.09
2005 QB34,15.72
2005 QS180,15.61
2005 RE42,15.58
2005 VF44,15.31
2006 UM240,15.92
2009 AN46,15.23
2011 GJ83,14.75
2005 QF43,15.3
2005 SR15,15.53
2005 SG286,15.75
2005 TH120,15.26
2005 UA434,15.42
2005 WM163,14.94
2005 XT8,15.62
2006 VO116,15.36
2008 DS36,15.61
2009 BC27,15.51
2009 DZ127,15.65
2009 DS141,15.62
2010 GU28,14.43
2011 GG79,15.73
2011 KG9,15.44
2012 TW9,14.91
2013 QC47,15.42
2005 QT70,15.23
2005 SB133,15.14
2005 SR238,15.24
2005 UF128,15.83
2005 UD135,14.89
2005 UV167,16.04
2005 UZ226,15.19
2005 UX254,15.02
2005 UU380,15.96
2005 UD424,15.49
2005 WJ150,15.14
2005 YQ60,15.7
2006 XZ16,15.15
2007 VK243,15.41
2008 AR8,15.36
2008 AZ91,15.4
2008 CU103,15.79
2008 CL205,15.57
2008 DE56,15.66
2009 DL22,15.54
2009 EF26,15.4
2009 FR40,15.0
2011 HB57,15.19
2005 UF403,15.67
2005 UN513,16.09
2005 VF88,15.16
2005 VD135,15.75
2005 WQ45,15.73
2005 WF101,15.38
2006 EU73,14.78
2006 XF58,15.92
2007 BR18,15.08
2007 DA40,15.56
2008 EZ157,15.75
2004 TP155,15.37
2005 WM77,16.07
2005 YS57,15.97
2007 BN14,15.85
2007 BV28,16.06
2007 CK34,15.22
2007 DE45,16.19
2008 FD132,15.5
2012 ST24,15.81
2012 TG106,15.77
2012 TQ154,15.84
2012 VG3,15.47
2012 VG92,15.62
2012 VM92,15.62
2013 BL60,14.78
2013 GH79,14.43
2004 TS32,15.73
2004 TZ274,15.35
2006 AO95,15.97
2006 BG42,16.05
2006 BV50,15.84
2009 BA47,14.77
2010 BB94,15.69
2012 UV122,15.63
2012 WO6,15.98
2012 XD2,15.2
2001 RE14,15.24
2001 SY292,14.77
2002 SU33,14.87
2004 VA79,15.35
2006 UT46,14.94
2007 HN31,15.45
2009 JX2,15.6
2009 UW7,15.28
2011 SH30,15.37
2011 SX83,15.38
2012 WU,15.97
2003 SY93,15.14
2006 HA51,14.83
2007 EU195,15.09
2009 SZ292,14.96
2013 CZ59,15.25
2013 CR101,14.7
2013 CW118,15.05
2013 CN135,14.94
2013 VT14,14.7
2014 AN8,16.11
2005 CC30,15.07
2006 EV15,15.16
2006 GZ25,15.57
2006 HV62,15.6
2007 UD37,15.04
2012 AQ13,14.93
2013 CW29,15.35
2013 CH91,15.38
2013 CE141,15.52
2013 CS198,15.33
2013 CJ222,15.62
2013 EY14,15.47
2013 GW80,14.92
1999 YH15,15.41
2005 YS121,16.01
2006 HV33,15.53
2006 SH170,15.16
2013 EF49,15.81
2013 EC80,15.59
1999 TV241,15.66
2006 KE24,15.59
2006 PZ10,15.78
2006 QK2,15.26
2007 RP137,15.55
2007 TQ124,15.52
2007 TE244,14.67
2007 TP332,16.0
2007 TG357,15.64
2007 VC40,15.61
2007 VH173,15.63
2007 VY180,15.25
2008 SB196,15.68
2008 SM309,15.85
2009 AZ3,14.89
2012 HQ31,15.1
2013 EE110,15.17
2013 GU132,15.97
1999 TX295,15.47
1999 VH88,15.97
1999 VW116,16.09
1999 WE21,15.98
2006 PX27,15.82
2006 QP54,15.34
2007 RP96,15.03
2007 RR105,15.31
2007 RY194,14.95
2007 TJ12,15.67
Tsawout,15.75
2007 TT162,15.69
2007 TO260,15.47
2007 TA275,15.75
2007 TL364,15.86
2007 TV385,15.01
2007 TG406,15.52
2007 UE9,15.61
2007 UM132,15.22
2007 UZ141,15.75
2007 VE328,15.5
2008 SL59,15.63
2008 VE11,15.45
2008 VH70,15.33
2009 UJ73,15.09
2009 XZ15,15.15
2010 CH70,15.43
2010 CB83,15.58
2012 DL88,15.55
2013 EX85,15.44
2014 HL13,15.43
2014 HT42,15.72
1999 TJ264,15.86
1999 VA113,14.78
1999 XQ139,15.84
2006 PO32,14.61
2006 QL69,15.57
2006 QK82,15.44
2006 RU57,15.77
2006 SW350,15.29
2006 UY2,15.22
2007 RG111,15.85
2007 RM312,15.37
2007 TN401,15.85
2007 TH437,15.72
2008 AH7,15.11
2013 NN1,14.99
2005 NZ77,15.25
2006 QQ32,14.82
2006 RZ23,15.19
2006 SN119,15.31
2006 SV122,15.3
2006 SY254,15.64
2006 SU301,15.26
2006 SO339,15.06
2006 TF94,15.57
2006 UJ64,15.21
2006 UZ123,15.81
2006 UA195,15.39
2007 VD176,15.61
2007 VJ282,16.18
2007 WV,15.19
2007 XH30,15.56
2013 RG57,15.48
1998 TO24,15.79
2001 AQ49,15.66
2005 ME30,16.09
2005 NR67,15.71
2006 SR22,15.19
2006 SH87,16.2
2006 SF201,15.83
2006 SA407,16.09
2006 UY50,15.86
2006 UY54,15.26
2006 UV113,15.81
2006 WN5,15.93
2006 WC152,15.81
2008 DT15,15.14
2011 HS93,15.36
2013 RQ88,15.47
2014 HQ12,15.98
2014 HL41,15.11
2005 NH14,15.7
2005 ND37,15.85
2005 NC68,15.67
2005 QG116,15.82
2005 SZ187,15.82
2005 WX21,15.38
2006 SY404,15.81
2006 TD31,15.91
2006 UQ35,16.02
2006 UP90,15.69
2006 VO16,15.94
2006 WY24,15.51
2006 WR93,15.45
2007 BQ34,15.6
2007 CQ32,14.98
2007 VC311,15.7
2008 AF59,15.97
2008 EJ90,15.93
2009 ER30,15.41
2009 HC4,15.38
2011 KO37,15.09
2012 PA6,15.1
2013 PS14,15.98
2013 PO32,15.52
2013 PF68,15.92
2013 QJ84,15.08
2013 TY51,15.55
2013 WP21,15.01
2014 QU434,15.33
2014 RB31,14.94
2014 SH313,15.54
2005 TK16,16.01
2005 VV97,15.57
2005 WP28,15.93
2008 DH14,15.9
2008 DS64,15.19
2008 DX75,15.57
2008 DQ80,15.7
2008 ER161,15.48
2008 FB115,15.52
2011 SX174,14.9
2013 SH53,15.75
2014 UY102,15.79
2014 WQ316,15.27
2005 UD36,16.26
2005 UT126,15.97
2005 UK406,16.24
2005 UY522,16.09
2005 WZ109,15.86
2005 WY198,16.07
2008 FS48,15.02
2012 TG21,15.85
2012 TQ200,16.08
2012 TC286,15.6
2012 UG172,15.88
2012 VK81,15.56
2005 UC514,16.15
2005 WL78,16.27
2007 BA76,15.76
2007 DJ82,15.88
2007 DN103,16.14
2008 HL54,15.55
2009 SU30,15.52
2009 SW145,15.36
2011 QP92,15.6
2011 RR7,15.98
2011 SB110,14.99
2011 US23,15.48
2012 TG191,16.01
2012 TL258,16.3
2012 TN317,16.06
2013 YV92,16.05
2013 YA101,15.77
2014 BO26,16.03
2014 WF495,15.82
2000 WB132,15.14
2002 PA173,15.6
2002 WU26,15.4
2007 DH70,16.27
2007 GC62,15.37
2008 OS1,14.83
2009 SQ181,15.82
2009 SX201,15.79
2009 ST211,15.35
2009 ST354,15.8
2009 VH26,15.8
2010 ME115,15.15
2010 PB70,15.33
2010 VW79,15.13
2010 VX206,15.47
2011 SL63,15.56
2013 YX105,15.76
2008 PZ19,15.77
2008 QF26,15.85
2014 DK89,15.25
2014 HF25,15.72
2014 HL191,15.94
2014 JA5,15.37
2000 XH11,14.65
2001 XS146,15.07
2002 AW73,15.52
2004 FK158,15.33
2007 RX64,15.65
2007 RQ107,15.25
2007 RY238,15.05
2007 TM121,15.73
2007 TO434,15.63
2008 SO136,15.44
2008 TD67,15.36
2008 TT69,15.66
Domanski,15.26
2008 UN7,15.81
2008 UC180,15.81
2008 UR239,15.63
2008 WR138,15.91
2009 VU28,15.76
2009 WN10,15.1
2009 WK33,15.52
2011 CX117,15.24
2012 AX23,14.79
2012 FC29,15.44
2013 ED24,15.63
2013 EX104,15.23
2013 GQ69,15.42
2014 GM28,15.67
2014 HX140,16.01
1999 TR107,14.93
2001 XP170,15.22
2007 RP37,15.67
2007 RD105,15.7
2007 RT262,15.7
2007 SC21,15.45
2007 TL85,16.0
2007 TK187,15.96
2007 TJ209,15.92
2007 TR440,15.18
2007 WZ24,15.97
2008 SO232,14.98
2008 SE268,15.59
2008 UE210,15.9
2008 UD286,15.91
2009 WC169,15.86
2010 EY8,15.89
2011 CZ86,15.34
2012 BH112,15.75
2012 FX26,15.43
2014 OJ130,15.17
2014 OL335,15.3
2015 OB15,15.44
1999 TC71,15.31
1999 TE82,16.08
2005 EN210,15.22
2007 RP122,15.9
2007 RA195,15.78
2007 RQ221,15.89
2007 TV156,15.94
2007 TV373,15.41
2007 UG132,15.28
2008 UH167,15.96
2008 YS99,15.83
2009 AH8,15.92
2013 FY6,15.52
2014 OX122,15.48
2007 RA134,15.67
2007 RR262,15.64
2007 TS158,15.37
2007 TF232,16.1
2007 TM235,16.19
2007 TE300,16.2
2007 TE432,15.87
2007 TQ444,15.52
2007 TP451,15.35
2007 VG4,15.76
2007 VA95,15.83
2007 VE213,15.9
2007 VB246,15.82
2007 VY264,15.51
2008 YW112,15.5
2014 OX13,15.44
2015 RV192,15.51
1999 VQ116,16.09
2006 PE23,15.75
2006 QA125,16.11
2006 SG140,14.74
2007 TL234,16.17
2007 VD11,15.81
2007 WC41,16.07
2009 DB25,15.51
2012 SH65,15.43
2014 PF58,15.76
2014 RW21,15.95
2006 SQ187,15.91
2006 TG107,16.14
2006 WK67,15.18
2006 WU92,16.0
2007 TV25,15.93
2007 TV107,16.23
2008 AD97,15.21
2008 CZ76,14.93
2009 HY12,15.59
2010 AU91,14.96
2010 JT117,15.91
2012 TE77,15.78
2014 QC30,15.95
2014 QU351,15.51
2014 QB418,15.13
2015 VN141,16.26
2006 XT20,15.69
2008 AZ109,15.74
2008 BO53,15.57
2008 CU80,15.76
2008 EY70,16.3
2011 SR191,15.46
2014 WM133,15.65
2014 WK200,14.98
2014 WC468,15.61
2015 BU1,16.0
2015 BE116,15.96
2015 BW165,15.73
2015 DF150,15.22
2003 SS27,15.07
2005 WX15,15.74
2007 CD48,15.68
2008 CZ60,15.68
2008 FA30,15.71
2011 WC136,15.33
2015 BS18,15.83
2015 BY89,15.64
2015 BU223,16.28
2002 SX26,15.32
2002 TN34,15.28
2002 US43,15.73
2011 UJ26,15.25
2015 NS23,14.93
2009 OT10,15.35
2009 SB128,15.36
2009 SY227,15.39
2015 FY298,15.65
2015 HO90,15.62
2015 KE115,15.72
2015 KM116,15.9
2015 LL6,15.04
2015 MA28,15.67
2015 OC5,14.76
2015 TH216,16.07
2016 ES133,15.93
2001 YT31,15.73
2005 GF170,15.2
2006 GN19,15.7
2008 OP12,15.59
2008 RM135,15.96
2008 SQ83,15.96
2008 SM110,15.66
2008 SA188,15.9
2008 SQ213,16.05
2008 SW257,15.55
2008 TU54,16.26
2008 TV63,15.9
2008 TX136,15.95
2008 UW19,16.2
2008 UE33,16.27
2008 UZ57,15.61
2008 UF59,15.53
2008 UY99,15.93
2008 UW176,16.04
2008 WD23,15.76
2008 WE28,16.0
2009 WH123,15.96
2009 WP180,15.97
2009 WW202,16.18
2009 WB226,15.91
2009 WU251,15.47
2009 WP255,15.75
2009 WH261,15.12
2010 AK18,15.78
2011 BY40,15.64
2011 BU70,16.0
2011 CZ33,15.72
2011 CQ91,15.54
2011 EE21,15.49
2013 CR53,15.32
2014 HF47,15.24
2014 HJ110,15.8
2015 KE51,15.06
2015 PJ41,15.23
2015 RY107,15.7
2007 RH239,15.74
2007 TZ27,15.39
2008 TZ21,15.99
2008 TT173,16.22
2008 UE180,15.93
2008 WS45,15.98
2008 WC46,15.87
2008 WE82,16.12
2008 XY5,15.81
2009 AG13,16.25
2010 AF80,15.75
2014 NP55,15.16
2015 OU40,15.37
2015 RC63,15.96
2015 TA303,15.91
2016 SO13,15.18
2005 UH523,15.86
2007 RW255,15.77
2007 WV23,16.2
2007 XT10,15.79
2010 EN84,15.55
2011 KC32,15.47
2014 OK2,15.72
2014 OX206,15.95
2014 WE48,15.37
2014 WV140,15.54
2016 XW14,15.55
2001 RJ16,15.6
2002 OX32,15.97
2002 RM44,15.6
2002 RS189,15.24
2002 RC263,16.2
2003 UD97,15.38
2006 BF186,15.76
2009 QH40,15.67
2010 JE41,15.7
2011 OB6,16.24
2011 PA15,15.82
2011 QL34,15.76
2011 QE62,15.14
2011 SD151,15.91
2011 UW251,15.9
2012 UC169,15.72
2012 VQ10,16.26
2012 VN17,15.99
2012 VD34,15.22
2012 WG16,15.65
2014 BW26,16.15
2015 BX118,15.92
2015 KS45,15.75
2016 FK2,16.04
2016 NP24,15.0
2016 NY43,15.97
2002 VX14,15.99
2007 RB150,15.16
2008 CT205,15.92
2008 FY63,15.91
2008 SH185,15.71
2016 CL80,15.29
2002 RK223,15.44
2003 SA181,15.58
2001 QC237,15.45
2002 RQ265,15.91
2002 TF378,15.86
2002 UG78,15.72
2008 FV131,15.77
2009 PC10,15.89
2009 PZ19,16.01
2009 QC41,15.86
2009 SN54,15.85
2010 NE50,15.73
2010 OX26,16.09
2010 UN83,15.27
2010 VM83,15.51
2011 AV43,15.92
2013 CM155,15.91
2013 EA30,15.16
2015 AQ272,15.25
2015 HG95,15.69
2015 HE118,15.44
2015 KB28,15.89
2016 QA10,15.05
2016 QQ36,15.24
2002 WL32,15.15
2007 EN224,15.3
2007 HL22,15.77
2008 TV107,16.02
2009 TP49,15.27
2009 VX73,15.84
2011 AF33,15.95
2012 BN10,15.96
2012 BY63,15.99
2013 EO66,15.2
2013 HV104,15.88
2014 DJ123,15.78
2014 HB187,15.62
2015 KS130,15.18
2015 MJ99,15.59
2016 LO52,15.38
2016 RC32,15.61
2017 QJ10,15.41
2017 QG16,15.29
2001 VW77,16.24
2004 BZ163,14.98
2006 FV55,15.72
2007 JL46,15.66
2007 SQ24,15.9
2008 RC107,15.86
2009 SF313,16.07
2009 VY10,16.15
2009 WL205,16.15
2011 BF88,16.15
2011 BQ103,16.11
2013 DM4,14.94
2013 MP1,15.6
2015 HK20,15.06
2015 PH80,16.05
2002 BT32,15.49
2002 RR36,15.41
2004 EH116,16.0
2007 RP277,14.87
2008 TH161,16.05
2008 TC165,15.74
2009 YN7,16.14
2011 BG103,15.98
2011 UK336,16.27
2012 BT155,15.96
2013 EX51,15.59
2014 UZ62,15.84
2016 TQ79,15.93
2016 UG10,16.11
2016 US69,16.17
2016 UW71,16.21
2016 WN31,15.31
2016 XF5,15.81
2007 VV337,15.68
2008 SV267,16.15
2008 UB151,16.13
2008 UC259,16.05
2008 UQ342,15.95
2008 VQ28,15.99
2010 AH61,15.17
2015 TS1,16.13
2016 UQ2,15.79
2004 KO19,15.28
2005 UZ262,15.71
2008 UC108,15.82
2008 UT143,16.2
2012 PK42,15.73
2012 QM52,15.28
2013 RU65,15.62
2013 TX33,15.5
2014 PL2,15.95
2015 RZ106,16.08
2016 YR11,16.25
2002 GB192,15.43
2009 DZ144,15.61
2010 GW34,16.12
2015 DO230,15.74
2017 DB40,15.83
2008 AV138,15.73
2017 FX24,15.65
1994 RE3,15.85
2001 QQ145,15.48
2002 QA112,16.19
2002 QJ131,15.89
2002 RM,15.75
2002 RH160,15.84
2002 RE254,16.08
2003 UK224,16.27
2004 BQ130,15.34
2004 CS16,15.7
2005 QK20,15.67
2005 QY100,15.76
2005 RB16,16.24
2006 FW55,15.39
2006 RE18,15.15
2006 TU102,15.64
2006 UW89,15.39
2006 UW362,16.0
2007 TP43,15.51
2007 TK280,15.68
2008 TR191,15.93
2008 UP133,16.1
2009 UF159,15.64
2009 WN87,15.69
2010 AQ77,15.53
2010 GO91,15.86
2010 LC88,16.05
2010 NK70,16.1
2010 OM20,16.19
2010 OL30,15.81
2010 OB79,15.93
2010 RR125,16.23
2010 TD42,16.16
2010 UR98,15.6
2010 VX77,15.67
2010 VC167,15.73
2010 VA180,15.72
2010 VY202,16.01
2010 VN225,15.74
2011 AP1,16.01
2011 AL8,16.03
2011 BN10,15.59
2011 BV62,15.98
2011 BY163,16.2
2011 CY31,16.19
2011 DN20,16.26
2011 UV267,15.59
2012 FK18,16.16
2012 FO49,16.2
2012 GB26,16.02
2012 JM67,15.55
2013 CV174,15.67
2013 QA24,15.69
2013 SU23,15.51
2014 KU62,15.72
2014 OM208,15.87
2014 UV94,15.57
2015 HL166,15.27
2015 KP163,15.58
2015 XT132,15.65
2016 SF28,15.57
2016 TZ72,15.39
2016 UO107,16.21
2017 ON20,15.84
2017 RL32,15.62
2017 TL7,15.92
2017 XN40,15.54
2011 ON59,15.36
2011 QE37,16.11
2011 QE98,15.96
2011 SW36,16.02
2011 SF258,15.89
2011 TA11,16.02
2011 UA41,16.18
2011 UF47,15.99
2011 UC51,16.26
2011 UO64,15.81
2011 UR146,15.76
2011 UY335,15.5
2012 XC153,15.83
2013 BW43,15.98
2013 CO57,14.66
2013 CQ191,15.25
2013 GY99,15.17
2014 EQ74,15.79
2014 HU131,15.85
2014 HX190,15.78
2014 KN48,15.41
2011 AW89,15.86
2011 AP90,16.03
2011 BN63,15.83
2011 CU19,15.85
2011 HB31,15.48
2011 HK69,15.41
2011 HO86,15.43
2010 DR103,15.01
2010 RC155,15.39
2010 UF66,15.48
2010 VU230,15.18
2010 VN241,15.41
2010 WK34,14.93
2010 ER122,15.35
2010 UN55,15.98
2010 VM119,15.73
2011 GC98,16.24
2011 HW88,15.46
2011 LV22,16.26
2012 BP46,15.71
2012 CE21,15.96
2012 VG38,16.14
2013 EQ66,16.08
2013 FH22,16.01
2013 GL25,15.4
2013 GK134,16.09
2013 HP137,15.91
2010 XV62,15.65
2011 BT137,16.1
2011 HG15,15.7
2012 BO174,16.12
2012 CO6,15.33
2012 CF14,16.1
2012 DY92,16.01
2012 DD117,15.94
2012 FP2,15.88
2012 FM29,15.73
2013 EF167,15.76
2013 GA32,15.78
2013 GL59,16.08
2013 HD107,16.2
2013 HH148,15.79
2013 NP19,15.72
2013 VS62,16.19
2014 EY36,15.12
2014 HL183,15.85
2014 JJ118,15.79
2014 UR104,15.96
2014 UN193,16.05
2015 BC416,15.97
2015 PV94,15.5
2015 PO184,15.96
2016 GU6,15.98
2017 XC48,15.44
2018 RB33,16.17
2019 AM25,15.15
2000 SD379,15.7
2004 EB118,16.23
2005 JS129,16.01
2005 JM190,15.89
2005 QC32,15.78
2005 QB99,15.97
2005 QK146,14.86
2005 SJ8,15.73
2005 TW125,15.67
2005 XW93,15.73
2006 QE48,15.31
2006 QQ201,15.93
2006 SX70,15.79
2006 SB322,15.82
2006 UK197,15.37
2006 UA203,15.46
2006 UV382,15.86
2006 VR148,15.44
2006 WQ225,15.67
2007 RX84,15.81
2007 TE316,15.98
2007 VZ223,15.92
2007 VM346,15.6
2007 YK75,15.55
2009 QC64,15.73
2009 SK385,15.93
2010 CC37,15.54
2010 FU142,15.61
2010 NN128,15.73
2010 XS98,16.09
2010 XD107,15.98
2011 CR2,15.72
Doyrantsi,15.61
2012 DD112,15.92
2012 LQ11,15.56
2012 PC46,15.31
2013 PP11,15.71
2013 QW18,15.87
2013 QH30,15.63
2014 OH213,16.02
2014 QX442,15.7
2014 SO140,15.49
2014 SJ234,16.09
2014 TO7,16.18
2014 UM80,16.15
2014 UU103,15.45
2014 UF132,16.21
2014 UN183,15.66
2014 UL184,15.61
2014 UL214,15.7
2014 WE396,15.3
2015 AM,15.76
2015 CY14,16.25
2015 UF7,15.97
2015 XF292,16.22
2016 LZ26,15.87
2017 OM10,15.89
2005 QB189,14.91
2005 QR200,16.05
2005 QW204,15.79
2005 RD57,15.97
2005 SQ115,16.06
2005 SF282,15.71
2005 TD85,15.73
2005 TZ109,16.19
2005 TE147,15.7
2005 TJ197,15.4
2005 WJ212,15.93
2006 UB6,15.62
2006 UA86,15.56
2006 WX74,15.75
2006 WG202,15.77
2006 WE221,15.78
2007 DT16,15.66
2008 FM140,16.02
2009 BB199,15.58
2010 GZ202,15.64
2013 SL75,15.6
2013 TU116,15.93
2014 WS228,15.31
2015 AW49,15.31
2015 AS57,15.68
2015 BZ95,16.12
2015 BT235,15.07
2015 CA16,15.94
2000 CT150,16.15
2001 SO189,15.81
2002 FL19,16.17
2002 RC198,15.7
2003 QD2,14.93
2004 RJ357,14.98
2005 GB152,15.88
2005 QY208,16.28
2005 SC129,15.68
2005 SU154,16.0
2005 TD150,15.97
2005 TY209,15.84
2005 TE210,16.12
2005 TB216,15.49
2005 TJ218,15.76
2005 UK247,15.54
2005 UD341,15.16
2005 UL532,16.08
2005 UG539,15.54
2005 US547,15.64
2005 VC128,16.17
2005 VD131,16.01
2007 DH114,15.73
2008 BE57,15.14
2008 DV34,15.57
2008 FB91,16.14
2008 XX10,15.54
2009 DJ135,15.86
2009 FH84,16.28
2009 HR113,16.12
2009 HW116,15.89
2009 PG22,15.89
2009 SM154,15.89
2010 GQ203,16.23
2010 RX61,15.51
2011 KC41,16.0
2011 KV41,16.15
