idhere,H_mag
2011 AV30,15.77
2011 AS76,15.73
2005 NA13,15.01
2005 NN78,15.31
2006 TW74,15.27
2007 RB84,14.99
2007 RZ302,14.99
2007 TO127,15.41
2007 TL245,14.95
2005 NT47,15.69
2005 PD16,15.28
2006 RN37,15.51
2006 TE17,14.72
2006 UK92,15.32
2012 CD51,15.44
2005 SK145,15.67
2009 BS38,15.1
2009 CT33,15.27
2010 KK63,15.74
1998 BU19,15.47
2004 TG150,15.53
2004 TE156,15.75
2004 TE224,15.51
2005 TA133,15.03
2005 UN318,15.35
2005 WF26,15.74
2005 WS109,15.42
2005 YG62,15.01
2006 BY50,14.99
2007 EW92,15.66
2008 CB136,15.49
2008 EF29,15.15
2004 RV239,15.8
2004 TU62,15.74
2004 VF52,15.68
2004 VQ72,15.35
2005 UY189,15.55
2005 UU266,15.78
2006 AU70,15.85
2008 FR83,15.35
2012 SA37,15.06
2006 BD103,16.21
2010 RN37,15.29
2012 UY74,15.94
2003 UC272,15.96
2004 XF183,15.94
2006 CP67,15.28
2005 EY235,15.41
2006 HU115,15.56
2008 RH11,15.04
2009 WR18,15.21
2011 UA315,16.16
2006 FJ13,15.64
2005 GP103,15.9
2008 RY123,15.85
2006 SF74,15.28
2006 SC128,15.38
2006 TX29,15.54
2006 TL68,15.37
2006 SS327,15.51
2006 UE286,15.81
1998 SA51,15.88
2005 QB34,15.72
2005 QS180,15.61
2005 VF44,15.31
2006 UM240,15.92
2005 SR15,15.53
2005 TH120,15.26
2005 XT8,15.62
2009 DZ127,15.65
2011 KG9,15.44
2005 SR238,15.24
2005 UV167,16.04
2007 VK243,15.41
2008 DE56,15.66
2009 DL22,15.54
2005 UF403,15.67
2005 UN513,16.09
2005 VD135,15.75
2005 WM77,16.07
2007 BN14,15.85
2007 BV28,16.06
2007 DE45,16.19
2012 TQ154,15.84
2012 VG3,15.47
2012 VM92,15.62
2013 BL60,14.78
2006 AO95,15.97
2006 BV50,15.84
2010 BB94,15.69
2012 WO6,15.98
2001 RE14,15.24
2013 CZ59,15.25
2013 CR101,14.7
2005 CC30,15.07
2006 GZ25,15.57
2006 HV62,15.6
2013 CW29,15.35
2013 CE141,15.52
2013 CJ222,15.62
2006 SH170,15.16
2013 EF49,15.81
2013 EC80,15.59
2006 KE24,15.59
2006 PZ10,15.78
2006 QK2,15.26
2007 RP137,15.55
2007 VY180,15.25
2008 SM309,15.85
2013 EE110,15.17
2013 GU132,15.97
1999 TX295,15.47
1999 VH88,15.97
1999 VW116,16.09
2006 QP54,15.34
2007 RR105,15.31
2007 TT162,15.69
2007 TO260,15.47
2007 TA275,15.75
2007 TG406,15.52
