idhere,H_mag
2008 RX33,14.93
2008 SX85,15.06
2008 SG221,14.53
2010 MU74,15.27
2001 SH60,14.79
2004 CD92,14.62
2004 DE2,14.77
2005 UY91,14.44
2009 WO150,14.96
2004 EQ1,15.35
2005 QF48,14.67
2008 SG276,15.13
2006 SG135,14.77
2008 TD71,15.27
2009 WE60,15.53
2010 CO130,15.3
2005 MM51,14.29
2006 WD102,14.91
2007 TJ156,14.69
2007 UC47,14.53
2006 SZ181,14.84
2006 UG15,15.44
2002 GQ47,14.98
2002 SU29,15.13
2003 UH131,15.36
2005 UD456,14.81
2005 UO518,15.97
2004 TT28,14.82
2004 TE69,14.71
2004 TB184,14.87
2005 VD56,15.21
2005 WZ155,15.25
2005 WX199,15.22
2006 AO84,15.27
2006 BL183,15.49
2007 CQ57,15.24
2008 CY53,14.79
2008 DN52,15.08
2008 GS104,15.05
2010 EG139,15.28
2006 CZ66,15.43
2008 DS72,14.9
2003 UU53,15.05
2006 QZ79,15.13
2007 TT1,15.18
2013 CP,15.05
1998 SE53,15.26
2005 RB6,14.82
2005 PG7,15.09
2012 TW9,14.91
2005 QT70,15.23
2005 SB133,15.14
2005 UD135,14.89
2008 AZ91,15.4
2009 FR40,15.0
2007 BR18,15.08
2004 TP155,15.37
2007 CK34,15.22
2004 TZ274,15.35
2009 BA47,14.77
2012 XD2,15.2
2001 SY292,14.77
2002 SU33,14.87
2009 JX2,15.6
2003 SY93,15.14
2009 SZ292,14.96
2013 CW118,15.05
2013 VT14,14.7
2007 UD37,15.04
2012 AQ13,14.93
2013 CS198,15.33
2007 TE244,14.67
2009 AZ3,14.89
2007 TV385,15.01
2009 UJ73,15.09
2009 XZ15,15.15
2010 CH70,15.43
1999 VA113,14.78
2006 PO32,14.61
2006 UJ64,15.21
2013 RG57,15.48
2006 SR22,15.19
2013 RQ88,15.47
2005 NC68,15.67
2011 KO37,15.09
2005 VV97,15.57
2005 WZ109,15.86
2012 UG172,15.88
2012 TG191,16.01
2013 YA101,15.77
2014 BO26,16.03
2010 VW79,15.13
2014 JA5,15.37
2001 XS146,15.07
2002 AW73,15.52
2004 FK158,15.33
2007 TO434,15.63
2008 SO136,15.44
2008 UR239,15.63
2011 CX117,15.24
1999 TR107,14.93
2007 SC21,15.45
2007 TR440,15.18
2008 SO232,14.98
2011 CZ86,15.34
2012 FX26,15.43
2014 OJ130,15.17
1999 TC71,15.31
2013 FY6,15.52
2007 TS158,15.37
2007 VG4,15.76
2007 VA95,15.83
2007 VB246,15.82
2003 SS27,15.07
2005 WX15,15.74
2015 KE115,15.72
2015 LL6,15.04
2015 MA28,15.67
2016 ES133,15.93
2008 RM135,15.96
2014 HF47,15.24
2014 HJ110,15.8
2007 TZ27,15.39
2008 XY5,15.81
2010 AF80,15.75
2010 EN84,15.55
2011 KC32,15.47
2014 WV140,15.54
2002 OX32,15.97
2002 RS189,15.24
2003 UD97,15.38
2011 OB6,16.24
2011 QL34,15.76
2011 QE62,15.14
2012 UC169,15.72
2016 NP24,15.0
2008 CT205,15.92
2008 SH185,15.71
2016 CL80,15.29
2002 RQ265,15.91
2009 PC10,15.89
2013 EA30,15.16
2015 HE118,15.44
2016 QA10,15.05
2009 TP49,15.27
2013 EO66,15.2
2013 HV104,15.88
2014 HB187,15.62
2015 KS130,15.18
2004 BZ163,14.98
2002 RR36,15.41
2013 EX51,15.59
2016 WN31,15.31
2005 UZ262,15.71
2008 UC108,15.82
2017 FX24,15.65
2002 QA112,16.19
2002 RE254,16.08
2004 BQ130,15.34
2004 CS16,15.7
2007 TK280,15.68
2009 WN87,15.69
2010 VY202,16.01
2011 AL8,16.03
2011 BN10,15.59
2013 SU23,15.51
2016 SF28,15.57
2011 QE98,15.96
2011 UO64,15.81
2011 UY335,15.5
2012 XC153,15.83
2013 BW43,15.98
2014 HX190,15.78
2011 HO86,15.43
2010 VN241,15.41
2011 GC98,16.24
2011 HW88,15.46
2012 VG38,16.14
2013 VS62,16.19
2014 EY36,15.12
2018 RB33,16.17
2000 SD379,15.7
2006 UK197,15.37
2006 UA203,15.46
2006 UV382,15.86
2006 VR148,15.44
2006 WQ225,15.67
2007 VM346,15.6
2010 NN128,15.73
2011 CR2,15.72
2013 PP11,15.71
2014 UU103,15.45
2014 UF132,16.21
2014 UL184,15.61
2015 AM,15.76
2005 SF282,15.71
2006 WE221,15.78
2009 BB199,15.58
2014 WS228,15.31
2015 BT235,15.07
