number,idhere,targetname,H_mag,datetime_jd,e,a_au,incl_deg,Omega_deg,w_deg,M_deg
  3290 ,Azabu              ,3290 Azabu (1973 SZ1),12.21,2460796.5,0.1318230432692284,3.955715776726911,2.772528735082722,75.06168748641733,108.5851191056735,12.04129756244535
  3415 ,Danby              ,3415 Danby (1928 SL),11.02,2460796.5,0.2490275588521962,3.966023458503462,1.373566834758309,253.5977254524684,135.2786817510082,76.42058598443153
  3514 ,Hooke              ,3514 Hooke (1971 UJ),11.87,2460796.5,0.1929985735199463,3.952157077266135,3.504356394465788,24.2395002169982,342.1583463870185,323.0761815582314
  3557 ,Sokolsky           ,3557 Sokolsky (1977 QE1),11.02,2460796.5,0.1723514710586502,4.001553966455491,6.051991956257922,185.7495878066162,122.6984351459427,15.90359123290719
  3561 ,Devine             ,3561 Devine (1983 HO),11.22,2460796.5,0.1282742988099067,3.95208407613967,9.686948180676136,117.79177358432,176.9328204436032,50.50133594362999
  3571 ,Milanstefanik      ,3571 Milanstefanik (1982 EJ),11.22,2460796.5,0.1108394038908474,3.931577795556496,7.859853054502778,248.9114244699303,21.57365746683223,109.0294869500747
  3577 ,Putilin            ,3577 Putilin (1969 TK),10.53,2460796.5,0.196934610441434,3.939229628142822,3.743804267041011,280.1491749578096,179.2890204681823,312.0309038424989
  3655 ,Eupraksia          ,3655 Eupraksia (1978 SA3),11.06,2460796.5,0.2019785316519147,4.017626016796799,3.819877626536531,337.9407819250451,39.93151532244389,285.7571120328587
  3694 ,Sharon             ,3694 Sharon (1984 SH5),10.57,2460796.5,0.2082348996084062,3.934663178907869,4.986971126361268,310.5955087094473,79.13319306213492,63.92055436181801
  3843 ,OISCA              ,3843 OISCA (1987 DM),10.79,2460796.5,0.146296290990257,3.988666461356356,3.925377506710215,28.28667687414865,23.61555409438246,4.084436769699102
  3923 ,Radzievskij        ,3923 Radzievskij (1976 SN3),11.74,2460796.5,0.2222510111287093,3.978272421377785,3.49201295120575,151.8313695034533,281.9756085270691,17.38076673533245
  3990 ,Heimdal            ,3990 Heimdal (1987 SO3),11.02,2460796.5,0.2420184302651972,3.944012177241965,9.495452935676827,192.5955774385978,198.1222557630505,262.0568966472828
