xcc,ycc,angle_68_deg,angle_95_deg,angle_997_deg,pW_laplace_rayleightest,pW_xJ_rayleightest,pW_xinvar_rayleightest,pW_xcc_rayleightest
-0.002305504576789387,0.018103187548264038,0.12561195059225247,0.2036753092516623,0.2836245224396073,0.02872089711842431,0.01568949745549325,9.820444419227077e-11,0.7921115430926785
-0.0025065911924519292,0.018034969978256283,0.12631806525646302,0.20482025207337404,0.28521889908594034,0.0254244284434954,0.014050215140250516,6.532642548816915e-11,0.8234672599130841
-0.002798087013486208,0.01758698711024418,0.12556736378555708,0.20360301314217782,0.2835238473471031,0.02124848469437612,0.011811534897615302,4.008078414651922e-11,0.8160629243411225
-0.0030600543058609685,0.017321721186324697,0.1255882579076025,0.20363689230612386,0.28357102537624923,0.01854402624913016,0.010248276925536242,2.7384934924945766e-11,0.8395361610757414
-0.003375694205243373,0.016971694787324264,0.1256277982306044,0.2037010057005546,0.28366030572580475,0.01790512708601719,0.010011553966079514,2.1555602860525438e-11,0.8585910902484298
-0.0038229347134622,0.01673045358144142,0.12562496023536388,0.20369640398021838,0.2836538976545346,0.01863094933343073,0.010716595077871038,2.264527960267243e-11,0.8673107386343502
-0.004185715101636649,0.01660534974931484,0.12546394097178176,0.20343531629219927,0.28329032308298085,0.017782772550223435,0.010415065576370418,2.272712773076419e-11,0.8751690821833907
-0.004553109691219997,0.01648988634806782,0.1254515532303425,0.20341522995791395,0.2832623520960013,0.019077150977829357,0.011341278935901576,2.7818564096987165e-11,0.8859499200598168
-0.0048458376375424194,0.0164567275493596,0.1257115017303218,0.20383672830233962,0.28384930463169794,0.019857655042226117,0.011948978423881415,2.989575232270534e-11,0.9067631624952273
-0.005246865013311161,0.016226441074249136,0.1253729897007938,0.20328784165872962,0.2830849590290571,0.0215584213174034,0.013194722784430847,3.4345879797402306e-11,0.9227108197989847
-0.005631068431439879,0.016104879305610564,0.1253699582483063,0.20328292625360864,0.2830781141399118,0.020811589452783604,0.013006979480370252,4.0000691284557694e-11,0.9465577973032769
-0.006021483352778062,0.015988510017837514,0.12536334559783033,0.20327220404828408,0.2830631830599702,0.02089432518012529,0.013337139608847783,4.9243789763335607e-11,0.9593487894179611
