xcc,ycc,angle_68_deg,angle_95_deg,angle_997_deg,pW_laplace_rayleightest,pW_xJ_rayleightest,pW_xinvar_rayleightest,pW_xcc_rayleightest
-0.001357111164488002,0.025566597158565917,0.6196757521182598,1.0048127927010009,1.3992992503536512,0.7558836092348064,0.762278866425547,0.7808342372371422,0.8923609075975236
-0.0013273570649063975,0.025102053306967426,0.6196005782417185,1.0046908894783002,1.3991294719459861,0.7543660201856973,0.7606554802868131,0.7734723987057713,0.8861544717220672
-0.0014967753478323975,0.024782833878401148,0.6195158794719815,1.0045535405319514,1.3989381818059925,0.7550251924179163,0.7616522998904683,0.7720426229220362,0.882440783936998
-0.0014499699001880853,0.02472085179626308,0.6193988787726646,1.0043638102404175,1.398673938553412,0.7483068685747579,0.7547304230159158,0.7638449785152991,0.8809179010870434
-0.0013771908149783803,0.02453769020569913,0.6195162164605029,1.0045540869981857,1.398938942886461,0.7483657959360913,0.7540273309742969,0.7570687593841293,0.8829271748378446
-0.0012997748546648162,0.0244675847649364,0.6199158616058957,1.0052021583039232,1.3998415319723032,0.7437026847835678,0.749259664648943,0.7487439235881964,0.8862319312959692
-0.0011302935652982187,0.02439006636935248,0.6199835544274497,1.0053119301325404,1.3999944146325405,0.7372273544159849,0.7426593072239795,0.7350127275339244,0.8898598079397477
-0.0009812719856067932,0.024284076359794318,0.6200959518370666,1.0054941956851378,1.4002482615810046,0.7368517082673932,0.7415959790470017,0.7258088630612536,0.8958793362258324
-0.000738461357249664,0.024123383393699165,0.6204931581587748,1.0061383122679637,1.4011453430433278,0.7306612658791033,0.7343150016038685,0.7068805064576665,0.8998654060394583
-0.0006332592950679041,0.023735660016301615,0.6205698984612127,1.0062627556674701,1.4013186593064653,0.7214581853868824,0.7246019740609322,0.6888710959125836,0.896248526070189
-0.0006040401364813481,0.023293499996409017,0.6206101894420745,1.0063280922189173,1.4014096555931106,0.7211745629023426,0.7239896915642879,0.6799301386091755,0.8962177998031117
-0.0006941874371336524,0.022885068703423057,0.6208776400327557,1.006761794743211,1.4020136868923256,0.7230699137437346,0.7251712405592783,0.6711785079897006,0.8969249531120451
-0.0006955146915909249,0.022749465950499696,0.6205191147492592,1.006180403922956,1.4012039654234214,0.7135504528511147,0.7151415845971447,0.6571335758891189,0.8949941602270156
-0.0004806058621945923,0.022517344725523126,0.6202602536993136,1.0057606303929554,1.4006193335743036,0.6974756043787328,0.6987559798513845,0.636358879908657,0.8936756182641911
-0.000228041159837782,0.022154431936284313,0.6207272155376702,1.0065178637642427,1.401673956450559,0.6883933958565005,0.6891110578182931,0.619069814946667,0.8970604143168652
-0.00023700831137767677,0.021739234869328963,0.6208934867653295,1.0067874920811815,1.4020494763945734,0.6843836688528396,0.6845082655691542,0.6069547823405822,0.8970995626191969
-0.0002828610380478361,0.021386453469866968,0.6204279839639499,1.0060326246705842,1.4009981485846155,0.6805432647890919,0.6801237449236325,0.596020537950048,0.8971824765881895
-0.00034772915743042467,0.02094113730935525,0.6196322513715928,1.0047422511581352,1.3992010049533647,0.6746308760817354,0.6736415172445702,0.5837901303557016,0.8961759821743939
-0.00045610180011790313,0.02047961739411385,0.619107885970282,1.0038919314731114,1.3980167384435636,0.6655468601687955,0.6639456015766728,0.5684246693329776,0.8925791446400846
-0.000630772923298577,0.019894304038624914,0.6200158884559089,1.0053643635428147,1.4000674402852615,0.6645675477715393,0.6626504023546674,0.562190060187764,0.8915305595998595
-0.0009602844260247059,0.019426374540985898,0.6205557489866054,1.006239810634907,1.4012867030325664,0.6808347680066332,0.6785454284614305,0.5721822784137213,0.8982202162227977
-0.0012704541753631013,0.01902088554018619,0.6200075829381315,1.0053508951739314,1.4000486824659788,0.6926226255459994,0.6894591168207109,0.5735020213848941,0.9076342021021996
-0.0018063908985113848,0.01856860304267165,0.6202362532958335,1.005721710927653,1.4005651292097177,0.704573965926491,0.700724216763716,0.5762316549269797,0.9112256912341478
-0.002402763220247752,0.01828644153750117,0.6209148597123593,1.006822150825111,1.4020977467331583,0.7120248498303926,0.7077460016136515,0.576467450732364,0.9108398131843525
-0.0027028607436763224,0.018275543211132495,0.6211252744774993,1.0071633630928614,1.4025729639718263,0.7107460967331322,0.7063478320802287,0.5731037345918061,0.9083310008091421
-0.002832858813499795,0.017873603505305806,0.6209434784306679,1.0068685594385658,1.4021623814907087,0.7013759674302689,0.6962506373705527,0.5593099531539947,0.907687956505272
-0.0031494460766240124,0.01759215782909967,0.6209004635883689,1.0067988058191646,1.4020652333984158,0.6987947840288627,0.6931290827162742,0.5541852253806075,0.9082733530848867
-0.0035412427037586963,0.017326027234682354,0.6217889904725084,1.0082396567178689,1.4040719528340726,0.6967029737721857,0.6909168804546527,0.548252322886427,0.9063135136646239
-0.003720798995538233,0.017153888768392956,0.6221072480597707,1.0087557489421957,1.4047907312937196,0.6872584383929128,0.6812971435388574,0.5366223197947094,0.9034583183592588
-0.003907780063154767,0.016939272607587992,0.6217165369646465,1.0081221648142222,1.4039083180459075,0.6798063300073361,0.6731776741484244,0.5263362359152071,0.9020809159778357
-0.004052088501128902,0.0166368439914576,0.6220287214951942,1.0086284088488155,1.4046133805858547,0.6757995528293139,0.6688350902717025,0.5229150442770881,0.9061648403218334
-0.004469744351728946,0.016069768164597747,0.6227918510110132,1.009865913565928,1.4063368941072687,0.6746398007038492,0.6673726562844697,0.5151415678211626,0.9118040533588379
-0.0050487550357763205,0.015960035554764336,0.622816363925932,1.0099056641599038,1.4063922560771251,0.685509755060452,0.6780150059475902,0.5207957620602889,0.9150724681713467
