number,idhere,targetname,H_mag,datetime_jd,e,a_au,incl_deg,Omega_deg,w_deg,M_deg
  5661 ,Hildebrand         ,5661 Hildebrand (1977 PO1),11.09,2460796.5,0.234517466156885,3.957231311812803,13.31856139677126,317.0354166250123,2.051082907428703,34.457742928047
  5711 ,Eneev              ,5711 Eneev (1978 SO4),11.16,2460796.5,0.1635558269697205,3.936674297137723,6.371066985724519,14.12302043431089,296.2490634814887,33.13673206658985
  5928 ,Pindarus           ,5928 Pindarus (1973 SK1),11.65,2460796.5,0.1195020154928069,3.970528173147606,9.27666586331125,163.8678689578455,104.0252428451618,267.2900763437599
  6124 ,Mecklenburg        ,6124 Mecklenburg (1987 SL10),12.46,2460796.5,0.2417341752226109,3.985537684984492,9.366645321781991,159.6973437336161,243.4196014671293,246.4982183685723
  6237 ,Chikushi           ,6237 Chikushi (1989 CV),11.65,2460796.5,0.07121908784607345,3.926465871210004,5.362528267007104,25.46770349603242,206.3397129603904,127.4755619748626
  6984 ,Lewiscarroll       ,6984 Lewiscarroll (1994 AO),10.73,2460796.5,0.1884246732939641,3.985567026846633,16.77883882981268,206.1563553346696,247.1837803708559,342.5230838725689
  7027 ,Toshihanda         ,7027 Toshihanda (1993 XT),11.87,2460796.5,0.1957737449825639,3.988272662092851,12.36924734332578,77.1172269769861,11.40417411517074,357.3370279185898
  7174 ,Semois             ,7174 Semois (1988 SQ),11.72,2460796.5,0.1747624988081053,3.997737579125928,12.64694891124961,354.3738996034714,289.8282417499011,260.2592143095043
  7284 ,1989 VW            ,7284 (1989 VW),11.69,2460796.5,0.1670504913845986,3.984329471837157,6.361161492083282,47.06710439803511,40.65914862542288,138.5901719953079
  7394 ,Xanthomalitia      ,7394 Xanthomalitia (1985 QX4),11.26,2460796.5,0.03532227682707997,3.921218085870386,8.61705927953456,174.6531408477406,192.8495445345981,16.00707446593712
  8086 ,Peterthomas        ,8086 Peterthomas (1989 RB6),11.75,2460796.5,0.2066586441006603,3.946783930541884,12.12202308448901,28.41345063918273,287.416465722384,210.9669426396329
  8130 ,Seeberg            ,8130 Seeberg (1976 DJ1),11.83,2460796.5,0.1324992449498631,4.003326132477414,5.962134818713033,113.5783152676752,91.46334330877862,6.280892577304344
  8376 ,1992 OZ9           ,8376 (1992 OZ9),11.86,2460796.5,0.1969209650547752,3.981520763400316,3.509849676521027,50.23881232827311,257.9861746646524,41.6491533708808
  8550 ,Hesiodos           ,8550 Hesiodos (1994 PV24),12.39,2460796.5,0.2603112910122066,3.945852291449654,2.876419221012316,23.46355322511932,336.4022835000497,313.1299959001249
  8551 ,Daitarabochi       ,8551 Daitarabochi (1994 VC7),11.29,2460796.5,0.1536632356763888,3.989212223728171,14.16082699376775,52.14863670781362,260.373645550191,20.75543250815497
  8743 ,Keneke             ,8743 Keneke (1998 EH12),11.69,2460796.5,0.154907126716886,3.928360505752881,16.67717118044219,147.9779219183149,133.1743243766372,80.2588817123138
  8913 ,1995 YB2           ,8913 Shohinighose (1995 YB2),12.79,2460796.5,0.1286650012789901,3.953566148833117,1.859818124052083,309.6997524168631,245.2180298335666,180.8193885038297
  8915 ,Sawaishujiro       ,8915 Sawaishujiro (1995 YK3),11.62,2460796.5,0.05021430611630673,3.92799000943298,3.691814413455871,245.1450386757014,326.1963956774287,181.1509983631934
  9661 ,Hohmann            ,9661 Hohmann (1996 FU13),11.47,2460796.5,0.232341897894362,3.940284146648387,13.00136916419141,56.50288017271781,287.1119948662408,144.2978589044068
  9829 ,Murillo            ,9829 Murillo (1973 SJ1),12.24,2460796.5,0.1282698892118515,3.953801581917705,2.643644230098146,181.7319715661863,4.093854059437263,15.03378849773436
 10063 ,Erinleeryan        ,10063 Erinleeryan (1988 SZ2),12.83,2460796.5,0.03393367564012756,3.989076846097521,2.985953346094534,123.8836312882682,49.56633954589974,40.58358774705126
 10296 ,Rominadisisto      ,10296 Rominadisisto (1988 RQ12),13.0,2460796.5,0.2112101871645455,3.955233475504432,3.503393190115585,9.01466636835981,98.92747727236541,155.3117605987348
 10331 ,Peterbluhm         ,10331 Peterbluhm (1991 GM10),11.96,2460796.5,0.2251908554617192,3.991737867553595,4.63928852736383,105.4771732837792,233.0971941078393,332.3953877480266
 10608 ,Mameta             ,10608 Mameta (1996 VB9),11.9,2460796.5,0.2559465262975374,3.997794612116266,4.520862159317481,159.8851455887623,258.4944391476931,199.6035951010571
 10610 ,1996 XR1           ,10610 (1996 XR1),12.38,2460796.5,0.2189877757426202,3.961516103315441,4.632677208466263,87.41275009266766,283.6412142841957,279.192589112361
 10632 ,1998 CV1           ,10632 (1998 CV1),12.36,2460796.5,0.2052131179664842,3.931111149190616,8.399811379723092,111.1073681378224,294.5099527463635,249.887612432061
 10889 ,1997 AO1           ,10889 (1997 AO1),11.81,2460796.5,0.06707937851998183,3.928376847094404,5.197429654958368,112.4011954125543,173.4103582878744,60.51720977783567
 11175 ,1998 FY67          ,11175 (1998 FY67),13.19,2460796.5,0.0966865186011037,3.956747135634199,8.749379703483335,180.3497587661327,79.16887447321703,101.7257982541243
 11249 ,Etna               ,11249 Etna (1971 FD),12.29,2460796.5,0.1943706254434427,3.948287912816542,14.45626015980926,3.7184000763903,296.2786077400158,210.3811680517342
 11274 ,Castillo-Rogez     ,11274 Castillo-Rogez (1988 SX2),13.77,2460796.5,0.2122172031422037,3.972410761445214,2.298795956975723,10.62707969181962,53.68322229783499,164.9725816285544
 11388 ,1998 VU4           ,11388 (1998 VU4),11.26,2460796.5,0.1217786900586421,3.937043613012014,8.210831960993684,217.2116128113409,279.0837809382709,69.87465844413254
 11410 ,1999 FU34          ,11410 (1999 FU34),11.56,2460796.5,0.164063207989828,3.939632617770271,5.765235415100255,39.25325182381698,266.1091910606224,28.5684279911037
 11542 ,Solikamsk          ,11542 Solikamsk (1992 SU21),11.56,2460796.5,0.242007352863135,3.95589515085607,6.866416090179009,16.73112755847918,49.16059116065093,2.147801168046312
 11739 ,Baton Rouge        ,11739 Baton Rouge (1998 SG27),12.06,2460796.5,0.2463321019415166,3.948835546810075,12.08130152730482,269.3025886117762,114.2974397931133,112.2969761025861
 11750 ,1999 NM33          ,11750 (1999 NM33),12.52,2460796.5,0.05282380153579816,3.969242492582464,2.680054780219868,327.0489835105192,330.66033545882,85.77629947497137
 11951 ,1994 AJ3           ,11951 Marcoschioppa (1994 AJ3),13.19,2460796.5,0.1338352919793263,3.984123328497972,4.423081058956577,161.1128451994896,310.5287815552113,326.7434143999359
 12006 ,Hruschka           ,12006 Hruschka (1996 OO),12.23,2460796.5,0.08645475422367732,3.963910137554895,10.25329337811208,231.6037855764944,8.46649260671791,284.1769852340732
 12307 ,1991 UA            ,12307 (1991 UA),12.97,2460796.5,0.2536582663538041,3.981230586480154,2.33651386907969,351.6549296252492,26.45640456854869,84.86512200025695
 12896 ,Geoffroy           ,12896 Geoffroy (1998 QV102),12.43,2460796.5,0.2858246022061149,3.966094288127207,6.339570331316487,46.80936238312218,321.6251344105782,133.2173009073258
 12920 ,1998 VM15          ,12920 (1998 VM15),11.04,2460796.5,0.2065204153120957,3.969010868547945,6.355000803512322,220.5158447287398,85.8822129289833,188.237762001402
 13035 ,1989 UA6           ,13035 (1989 UA6),11.93,2460796.5,0.1590420497220729,3.978647994629865,3.631984483367666,58.12446569845932,211.1367387722825,276.7466680855865
 13317 ,1998 RQ77          ,13317 (1998 RQ77),13.08,2460796.5,0.2009361725868051,3.979794742816314,7.151263778429727,40.26758858015245,312.4191575254837,135.7863373097227
 13381 ,1998 WJ17          ,13381 (1998 WJ17),12.58,2460796.5,0.2115762612293347,3.985776073862075,4.204399037136388,233.6330602563573,81.04012868079575,197.4850570088647
 13504 ,1988 RV12          ,13504 (1988 RV12),11.95,2460796.5,0.1728258465009579,3.981859048273449,16.26812116364572,186.0763305514003,305.7487431459309,84.01358336907717
 13897 ,Vesuvius           ,13897 Vesuvius (4216 T-2),12.56,2460796.5,0.1345385027969877,3.990465609339851,9.243451766257909,168.4020893322504,142.5577535276906,239.26415101705
 14195 ,1998 XD51          ,14195 (1998 XD51),11.97,2460796.5,0.1305077693378916,3.977085026573345,7.737793992853462,318.1844706216143,192.4964551751691,83.68153606809975
 14569 ,1998 QB32          ,14569 (1998 QB32),12.48,2460796.5,0.2827811612875492,3.986564607800716,10.86744311798229,345.8919023127911,36.77562176046735,103.1755597894143
 14669 ,Beletic            ,14669 Beletic (1999 DC),11.53,2460796.5,0.129138793214415,3.992462301098717,5.763516063584127,195.5225998059275,248.4032303684687,158.0393817229239
