laplacex,laplacey,laplaceB,laplacei,laplaceW,f1,f2,f3,f4,mu1,mu2,mu3,mu4,gm1,gm2,gm3,gm4
-0.003955107900340406,0.02210789328673965,-0.00021324901656173583,0.022460780350861142,1.7478238363837348,-1.9853535078944458e-05,-2.2091891631340605e-06,5.020100401212208e-22,-5.210616155335788e-07,1.2833568214557599e-06,-2.033993805412318e-07,5.875570362299007e-06,-2.4799437638045044e-07,5.362286388424777,5.513356638961197,1.8786359496973157,3.5498724506674217
-0.004102939770607876,0.02198466076881041,-0.00021298525252260407,0.022366109018214286,1.7553011656427884,-2.00116418836211e-05,-2.255815858777013e-06,1.0149300625868723e-21,-5.13220992511264e-07,1.281944134862457e-06,-2.0523974002879064e-07,5.8687148949869385e-06,-2.470868421480936e-07,5.332797397002102,5.503928208044541,1.878536024413801,3.534503808369351
-0.004209461763336148,0.021883393529685567,-0.00021328423944077846,0.022286424279501046,1.760833830702499,-2.0009825719776572e-05,-2.2218250359284073e-06,2.504265772952553e-21,-5.33375532500518e-07,1.2875437474956023e-06,-2.0194595532648e-07,5.875875199694713e-06,-2.482623389766064e-07,5.310979662005002,5.511901082659353,1.8786258627325185,3.5518451989372988
-0.00434226016671185,0.021813440111029304,-0.00021321350658603424,0.022243268290738742,1.7672912629295767,-2.016738839466013e-05,-2.245240377055762e-06,-8.277139943195105e-22,-5.135901876628058e-07,-1.2839665052585499e-06,2.0518501402755784e-07,5.874461206107745e-06,-2.48147326856653e-07,2.1458890142254687,2.3564042810722303,1.8786357112238434,3.537822288371262
-0.004490265316926008,0.021739122991846382,-0.00021281934073027892,0.022199840251135545,1.774484139633637,-2.0252081022817275e-05,-2.203820086150718e-06,-4.434736421074694e-22,-5.178896263864276e-07,-1.276738363775401e-06,2.0310252856635754e-07,5.862925325534661e-06,-2.4775857439884193e-07,2.12014114516854,2.3608555637606967,1.878356361621909,3.5457303200139916
-0.004664216406818628,0.02164432247273589,-0.0002128075065587021,0.022142983989416335,1.783044382143753,-2.0197892265805115e-05,-2.2549658268508776e-06,-1.4431921106108368e-21,-5.269447642630523e-07,1.2757698236146444e-06,-2.0300937433329666e-07,5.8631437687067145e-06,-2.4763590654226397e-07,5.231552177933137,5.497014997565533,1.8784569158561606,3.5424112562033745
-0.004790089953939942,0.02154674427563005,-0.00021321750545113212,0.022074562165873186,1.7895503879484123,-1.997550648681458e-05,-2.2044651374486398e-06,2.0475805478816687e-21,-5.183624379223873e-07,1.2856444414728326e-06,-2.0333841335857348e-07,5.874154760092106e-06,-2.4826620905858164e-07,5.206873598356077,5.4947266727376665,1.8783458295677604,3.5485418475548665
-0.004925196928335351,0.02149147677989268,-0.00021337466824698849,0.02205039539624446,1.7960760605822352,-1.9834748104656565e-05,-2.262987412545715e-06,-1.4766958672890248e-21,-5.161518458078001e-07,1.2841861774592387e-06,-2.0538370202626436e-07,5.879089178253448e-06,-2.474409172432078e-07,5.184399256843003,5.484924476224154,1.8782217892179525,3.5329312562913127
-0.005072462932234352,0.021439371037555156,-0.00021324908502605704,0.022033044754167105,1.8031199352888387,-1.9660963841148656e-05,-2.2290708344896277e-06,1.8611260018962824e-21,-5.385590330529592e-07,-1.2812055491487013e-06,2.0141609036888302e-07,5.875046868353796e-06,-2.4804757385805717e-07,2.0193876590605084,2.3529763974782454,1.878276112957242,3.554210074032073
-0.005263498010484383,0.021376036701304155,-0.00021294251590902444,0.022016304603024832,1.8122269931803026,-1.9618538432572515e-05,-2.265556219234772e-06,-3.9932650859772e-21,-5.098981824618104e-07,1.2758970043977856e-06,-2.0586339130926368e-07,5.867755556735053e-06,-2.4655022040630423e-07,5.130425937737201,5.476739950845537,1.8783107326612318,3.529721949583315
-0.00540743677313041,0.021286954620240803,-0.0002128283134688475,0.021964798911867613,1.8195604227381004,-1.956387116748346e-05,-2.2331247943627632e-06,1.7768141724037796e-21,-5.29396855324056e-07,1.2791135247886443e-06,-2.0230177457428332e-07,5.863919297691204e-06,-2.4687137740006494e-07,5.1048807677358505,5.483903783631533,1.8783120719716004,3.5423950563404367
-0.005551990015153671,0.021223338288598747,-0.0002125683005117229,0.02193927763361678,1.8266609332264192,-1.961788263079066e-05,-2.2729662264153856e-06,-2.0279422804746114e-21,-5.301358624610539e-07,1.2787139833433731e-06,-2.034918816335828e-07,5.856749401272752e-06,-2.4622525007792293e-07,5.081421165654141,5.477442525201232,1.8784602055570099,3.537451268151287
-0.0057077510485485945,0.0211969151224453,-0.00021295964898682647,0.021953702600481417,1.833830176087415,-1.956698374991925e-05,-2.227653054128307e-06,-4.611837017252122e-21,-5.130041018188579e-07,1.276564559541687e-06,-2.049704127778166e-07,5.867977959765603e-06,-2.469863465821808e-07,5.057691186217971,5.472078069870655,1.8785576551195469,3.532718063122754
-0.0058908481395085754,0.021143107813082807,-0.00021331433299613372,0.021950181668319562,1.8425229426127732,-1.9607620855967854e-05,-2.2623789780732314e-06,-5.961457981663425e-22,-5.325915773856018e-07,1.2758235207568033e-06,-2.0348196101543547e-07,5.877647357284745e-06,-2.4724539117890485e-07,5.02864987688289,5.477222710293311,1.8784598102602064,3.536568128516571
-0.006051354127875278,0.021082880546759608,-0.00021289846387082337,0.021935904661031663,1.8503091259699498,-1.9843505204354987e-05,-2.2384082174663044e-06,-2.0823267793310177e-21,-5.25165518899205e-07,1.2737852602075966e-06,-2.032602272045155e-07,5.865637012395001e-06,-2.473335897626897e-07,5.002815004798904,5.470545154028386,1.8787817197931704,3.5374467495397734
-0.006201462095555598,0.02101196527881393,-0.0002127392890965183,0.021909760932623142,1.857788054557361,-2.0016586975684298e-05,-2.2223158952128035e-06,-7.992743274079405e-22,-5.138408032114473e-07,1.2772359849706044e-06,-2.0404854381238119e-07,5.861744080075109e-06,-2.4717415269749456e-07,4.977277389702813,5.466644240449271,1.8786698515952587,3.5324037905478196
-0.006350834771956416,0.02099720625411344,-0.00021343038832324205,0.021938390600387367,1.86450933372854,-2.003256700494599e-05,-2.2458623650184485e-06,4.951497225887064e-22,-5.309357173396965e-07,1.2759743452827038e-06,-2.031634705470975e-07,5.879500759564137e-06,-2.4796625074979655e-07,4.954156755466408,5.467458905443778,1.8785868813133806,3.537708786508463
-0.006527950756466839,0.020971411938003868,-0.00021355842552445002,0.021965697216875725,1.8725680309373522,-2.016107562048589e-05,-2.216248862606703e-06,9.922024944108385e-22,-5.200712437462097e-07,1.2737531956793439e-06,-2.0364393063934767e-07,5.882982730064484e-06,-2.4863836757291836e-07,4.926936637706729,5.463631899592405,1.8787200195968663,3.5380358720505023
-0.0067047858807817605,0.020936979120540673,-0.00021300189482402417,0.021986112246873052,1.8807138304127522,-2.0249771686765814e-05,-2.224600126830486e-06,9.060018067459248e-22,-5.145643580171876e-07,1.269460296682535e-06,-2.0401969889179942e-07,5.8678239906884e-06,-2.4743114270185536e-07,4.898425928721905,5.4572367940317985,1.8785007883762508,3.532204257838407
-0.0068774291259754775,0.020881628499337508,-0.00021251659032186162,0.021986799067400767,1.8889604060621734,-2.0201883693274845e-05,-2.2309770580274662e-06,1.3040711801369195e-21,-5.295787768069773e-07,1.2707488395388493e-06,-2.017618136039752e-07,5.853870644717252e-06,-2.471405252309114e-07,4.870455791060962,5.459924994764267,1.8784112667288444,3.5386362953441193
-0.007018445181175658,0.020871922002955175,-0.00021286893545659045,0.022022127411924653,1.8951808324244328,-1.99789228524554e-05,-2.2395388144469097e-06,4.605144070829562e-22,-5.199217936503228e-07,1.2735378782861819e-06,-2.0394617735251004e-07,5.863713457282109e-06,-2.473973392832387e-07,4.849053702929613,5.451486177258739,1.878485850708149,3.5332255026975603
-0.007190237300134272,0.020873241975734737,-0.0002133998954819252,0.022078744238969057,1.902537528467958,-1.9819804236344063e-05,-2.2276686205607764e-06,1.4622005762881557e-21,-5.15746217135757e-07,1.2740445384121076e-06,-2.046688789100846e-07,5.879133004532121e-06,-2.4762808898390087e-07,4.822314426005747,5.450524519995001,1.87822699608086,3.529435248746493
-0.007367929124390503,0.02087229739962124,-0.00021350504328267785,0.02213637758759563,1.9101415948533567,-1.9672258197204306e-05,-2.272266138057217e-06,3.440928151237438e-22,-5.340503471998395e-07,-1.2721575027012775e-06,2.0363669484278567e-07,5.881713109221034e-06,-2.4777752396044444e-07,1.6536083208001782,2.3072793132866964,1.8783293306042939,3.5321316180050584
-0.007562073701015673,0.020836061137049573,-0.00021290754761489554,0.022167699264245527,1.9189451027909468,-1.9614217643205194e-05,-2.218393120907574e-06,-1.8133645023002964e-21,-5.167378250013624e-07,1.2740882749147554e-06,-2.0412249156256737e-07,5.865292917139308e-06,-2.472634444846279e-07,4.765761839151031,5.445594286045596,1.8784329336773848,3.5320315156121818
-0.007703714872626654,0.020827798109727996,-0.0002128168249181495,0.022208680331447912,1.925067689062843,-1.9557764106427907e-05,-2.2780678980913365e-06,-2.3291046297614167e-21,-5.188471261829774e-07,1.2742584821765549e-06,-2.0552188173963068e-07,5.863717827114416e-06,-2.46372384052501e-07,4.743691907265108,5.437888324522394,1.8783550920810157,3.5191061114291555
-0.007864436765035633,0.020832264880445643,-0.00021257138047526639,0.022269140022819846,1.9317677626756473,-1.96062104604089e-05,-2.230506256971499e-06,-2.7843741160570257e-21,-5.374971866798937e-07,1.270554052364835e-06,-2.0110079948528466e-07,5.8559435158308255e-06,-2.4703996318096535e-07,4.719134365277,5.448092511221241,1.8783967743110888,3.5405555823145956
-0.008066928315371119,0.020860108145574374,-0.00021277333730614108,0.022367451196918457,1.9397984026636834,-1.9582915658098196e-05,-2.2719163808790965e-06,3.264681000937e-22,-5.090096684588275e-07,1.2678906591755229e-06,-2.0627602003130658e-07,5.86308892445292e-06,-2.46222781406147e-07,4.689214064976889,5.429541363991264,1.8786950442478902,3.5148687004096093
-0.008244758116268895,0.020842845454029153,-0.00021307470486293066,0.022416163831086935,1.9474759951518856,-1.9600777020701523e-05,-2.2212361497030587e-06,7.099028213108621e-22,-5.309100418592981e-07,-1.2741172011459673e-06,2.0208178142406326e-07,5.870788567978203e-06,-2.4743493337218145e-07,1.5198850719194752,2.29832633901344,1.878598459501527,3.534975330925837
-0.008403715563954601,0.020839957134533467,-0.00021310256694260976,0.022472455474370157,1.9541014019968626,-1.9834210250436415e-05,-2.2726593819839446e-06,2.2895896790287653e-21,-5.249829074427743e-07,1.2749025370854748e-06,-2.0469655125871503e-07,5.870928919540969e-06,-2.4679117459719425e-07,4.63754518959858,5.428401459461179,1.8787579273539516,3.5227734910650867
-0.008546823842013055,0.020849244051221197,-0.0002132610034007549,0.022534975739834425,1.9598374582238496,-2.0023081931561275e-05,-2.1972495650982592e-06,1.5465461673633744e-21,-5.133799556657749e-07,1.2762038181873648e-06,-2.0393376180013494e-07,5.8756052229625e-06,-2.4776263327362813e-07,4.615645547297452,5.4272766733133535,1.878871156745718,3.5280251595334713
-0.008734547753833996,0.02089488602510648,-0.00021334092839159883,0.02264898000705982,1.9667427781243396,-2.0055853334050276e-05,-2.2612746232198828e-06,1.3323700081541095e-21,-5.265121055455043e-07,-1.2715829642324289e-06,2.04004908232888e-07,5.877914476782669e-06,-2.47050456403134e-07,1.4437853874661861,2.282535282463503,1.8786069127780851,3.522948491894323
-0.008915305894568888,0.02090640614737985,-0.00021301612046454376,0.022729924474600868,1.9738851465859149,-2.015516218557232e-05,-2.2125006540681858e-06,2.2692608225251426e-23,-5.245573206638033e-07,-1.2711358323855539e-06,2.0253546008313666e-07,5.8673935598363866e-06,-2.476678302476094e-07,1.4160886329850135,2.2813150069151034,1.878840197061196,3.5310410923902995
-0.0090849289615808,0.020919821559582965,-0.00021286912394616998,0.022809320185329534,1.9804956127125324,-2.0242098211802308e-05,-2.237249367569565e-06,1.8079626418060834e-21,-5.12469909256429e-07,1.2733613198312654e-06,-2.0486687101302264e-07,5.864117570143951e-06,-2.4674581600958066e-07,4.531772960924176,5.414698073410481,1.8787233981393783,3.5189068051107433
-0.009231878199653175,0.020936394646589914,-0.00021298882799351777,0.022883434907659372,1.9860978336058244,-2.02115011870762e-05,-2.213846571185618e-06,-3.835203011897337e-22,-5.294451627880292e-07,1.2767105349632625e-06,-2.018202081301928e-07,5.8665757006435555e-06,-2.474577397997958e-07,4.5078260089754405,5.420522500326955,1.878449656852533,3.531718363993707
-0.00939447563458844,0.021003732830129695,-0.00021321910161959867,0.023011006446171725,1.9913830625166096,-1.999602458019441e-05,-2.256479483545703e-06,-1.6586334164134835e-23,-5.222091106421941e-07,-1.2737850311489154e-06,2.0447138531951636e-07,5.872962057235095e-06,-2.4729440228486535e-07,1.3403261362900807,2.27011272522146,1.8785933099786425,3.5206388235006933
-0.009569694485669179,0.02104543176450296,-0.00021306646322773206,0.023121083541024882,1.997565150764416,-1.9811782225717058e-05,-2.202069637802848e-06,1.793058492394917e-21,-5.158943354733677e-07,-1.2753730692461623e-06,2.0353603281582485e-07,5.869150567426591e-06,-2.473373535004078e-07,1.3126876418140438,2.270086797034625,1.878505012175964,3.524992860690676
-0.009743007754131092,0.021087558887779453,-0.00021305816138525284,0.023231625599992974,2.003606233913398,-1.9675017814674368e-05,-2.2809065414930384e-06,-1.5980567186035579e-21,-5.325764523146904e-07,1.2775846794307364e-06,-2.0399190636272227e-07,5.869279525413758e-06,-2.466655105068226e-07,4.4266500578518455,5.408874934856117,1.8783193746738616,3.519609015051663
-0.009896690823191702,0.0211088384200715,-0.0002132087295326515,0.023315789742483613,2.0092075650874177,-1.9614908408362393e-05,-2.2210091086562566e-06,5.04017075615752e-22,-5.232590331882452e-07,-1.2837901650521447e-06,2.0344263263732047e-07,5.872743809687439e-06,-2.474461945130386e-07,1.2623452643143223,2.266251045434815,1.8785631355732366,3.5262786462649007
