laplacex,laplacey,laplaceB,laplacei,laplaceW,f1,f2,f3,f4,mu1,mu2,mu3,mu4,gm1,gm2,gm3,gm4
-0.003963548410794813,0.022118964583426003,-0.0002198751040764526,0.022473169056527645,1.7481068151743053,-1.9853535078944458e-05,-2.2091891631340605e-06,5.020100401212208e-22,-5.210616155335788e-07,1.3245089551741842e-06,-2.0974622410176505e-07,6.058136472319959e-06,-2.557081511986623e-07,5.362286388424777,5.513356638961197,1.8786359496973157,3.5498724506674217
-0.004107981302522575,0.02199170036946406,-0.00021699176416142807,0.02237395631916019,1.7554649625620655,-2.00116418836211e-05,-2.255815858777013e-06,1.0149300625868723e-21,-5.13220992511264e-07,1.3068332406597823e-06,-2.0911720058458176e-07,5.979112559863805e-06,-2.517396353675898e-07,5.332797397002102,5.503928208044541,1.878536024413801,3.534503808369351
-0.0042008496368976,0.021870792955910608,-0.0002066442836755826,0.022272421111927298,1.7605609644694808,-2.0009825719776572e-05,-2.2218250359284073e-06,2.504265772952553e-21,-5.33375532500518e-07,1.2461922745768366e-06,-1.9563256966359082e-07,5.692947705801676e-06,-2.405252765917049e-07,5.310979662005002,5.511901082659353,1.8786258627325185,3.5518451989372988
-0.004338213721879721,0.021807205899940615,-0.00020994348034073619,0.022236362508401192,1.767167515970984,-2.016738839466013e-05,-2.245240377055762e-06,-8.277139943195105e-22,-5.135901876628058e-07,-1.263644852722819e-06,2.0202472571767812e-07,5.784365402007238e-06,-2.4433763413407205e-07,2.1458890142254687,2.3564042810722303,1.8786357112238434,3.537822288371262
-0.0044986840208669394,0.021752862697436832,-0.00022030681786876165,0.022215003285110918,1.7747301813252228,-2.0252081022817275e-05,-2.203820086150718e-06,-4.434736421074694e-22,-5.178896263864276e-07,-1.323119344422458e-06,2.1027842290232307e-07,6.069196612669265e-06,-2.564843918182033e-07,2.12014114516854,2.3608555637606967,1.878356361621909,3.5457303200139916
-0.004667561688519929,0.02165017554624389,-0.00021587728920868937,0.022149412099328143,1.783136365739109,-2.0197892265805115e-05,-2.2549658268508776e-06,-1.4431921106108368e-21,-5.269447642630523e-07,1.2947676314709966e-06,-2.0595043630684323e-07,5.947720564453308e-06,-2.512118686058677e-07,5.231552177933137,5.497014997565533,1.8784569158561606,3.5424112562033745
-0.004782959985316374,0.021533514799452976,-0.00020665778630630962,0.02206009752421183,1.7893650121765778,-1.997550648681458e-05,-2.2044651374486398e-06,2.0475805478816687e-21,-5.183624379223873e-07,1.2448415223773299e-06,-1.9705653725447708e-07,5.6934341135490476e-06,-2.4062034787910117e-07,5.206873598356077,5.4947266727376665,1.8783458295677604,3.5485418475548665
-0.004921991842162699,0.021485190653312596,-0.00021018872537344652,0.02204355056423584,1.7959980309854362,-1.9834748104656565e-05,-2.262987412545715e-06,-1.4766958672890248e-21,-5.161518458078001e-07,1.2644066590258993e-06,-2.0230392240560664e-07,5.791307238512162e-06,-2.4374252811231476e-07,5.184399256843003,5.484924476224154,1.8782217892179525,3.5329312562913127
-0.005079517154820494,0.02145404972585085,-0.00022117541507678338,0.02204895738532851,1.803278009666653,-1.9660963841148656e-05,-2.2290708344896277e-06,1.8611260018962824e-21,-5.385590330529592e-07,-1.3303413638931814e-06,2.0893467893553707e-07,6.093418546414541e-06,-2.572773363317485e-07,2.0193876590605084,2.3529763974782454,1.878276112957242,3.554210074032073
-0.005268071479197868,0.02138636485478753,-0.00021837926471175877,0.022027429473792572,1.8123164999518258,-1.9618538432572515e-05,-2.265556219234772e-06,-3.9932650859772e-21,-5.098981824618104e-07,1.3095043686757124e-06,-2.1114221142935046e-07,6.017568349458166e-06,-2.5285148380537594e-07,5.130425937737201,5.476739950845537,1.8783107326612318,3.529721949583315
-0.005403767837852119,0.021278059575780685,-0.00020845575479863215,0.021955272110101773,1.8194982012380931,-1.956387116748346e-05,-2.2331247943627632e-06,1.7768141724037796e-21,-5.29396855324056e-07,1.2520139860617438e-06,-1.9812785977805781e-07,5.743445048994422e-06,-2.4179405842353956e-07,5.1048807677358505,5.483903783631533,1.8783120719716004,3.5423950563404367
-0.005550607676207814,0.021219746731994588,-0.00021080552781758394,0.02193545223939458,1.8266414026126978,-1.961788263079066e-05,-2.2729662264153856e-06,-2.0279422804746114e-21,-5.301358624610539e-07,1.267776889970565e-06,-2.0179707750483418e-07,5.8081809275345495e-06,-2.44181207121753e-07,5.081421165654141,5.477442525201232,1.8784602055570099,3.537451268151287
-0.005713810625339411,0.021213861852977797,-0.00022181435773587714,0.021971646391306394,1.8338959397959496,-1.956698374991925e-05,-2.227653054128307e-06,-4.611837017252122e-21,-5.130041018188579e-07,1.3313278849672157e-06,-2.1352948766735812e-07,6.111964254947687e-06,-2.5726649873642106e-07,5.057691186217971,5.472078069870655,1.8785576551195469,3.532718063122754
-0.005890539029093695,0.021142156046968934,-0.00021284553735750994,0.021949181618958404,1.8425210143925606,-1.9607620855967854e-05,-2.2623789780732314e-06,-5.961457981663425e-22,-5.325915773856018e-07,1.2729316619526134e-06,-2.030328487621558e-07,5.864730196924437e-06,-2.4670144856781607e-07,5.02864987688289,5.477222710293311,1.8784598102602064,3.536568128516571
-0.006047623718176591,0.021070288570937488,-0.0002070646757524178,0.021922769049222267,1.8503040319974178,-1.9843505204354987e-05,-2.2384082174663044e-06,-2.0823267793310177e-21,-5.25165518899205e-07,1.2377823681262393e-06,-1.976669356620522e-07,5.704908358521048e-06,-2.405491485267463e-07,5.002815004798904,5.470545154028386,1.8787817197931704,3.5374467495397734
