laplacex,laplacey,laplaceB,laplacei,laplaceW,f1,f2,f3,f4,mu1,mu2,mu3,mu4,gm1,gm2,gm3,gm4
-0.0039624902785459154,0.02211757665311842,-0.00021901674990385697,0.022471615872249943,1.7480713570034758,-1.9853535078944458e-05,-2.2091891631340605e-06,5.020100401212208e-22,-5.210616155335788e-07,1.3191768491440839e-06,-2.0892402256707765e-07,6.03448656097137e-06,-2.547088901715063e-07,5.362286388424777,5.513356638961197,1.8786359496973157,3.5498724506674217
-0.0041098193753741795,0.021994266901667992,-0.00021849907156524135,0.02237681747749448,1.7555246521541477,-2.00116418836211e-05,-2.255815858777013e-06,1.0149300625868723e-21,-5.13220992511264e-07,1.3161989189244711e-06,-2.1057599403401737e-07,6.020645751985378e-06,-2.53490093342176e-07,5.332797397002102,5.503928208044541,1.878536024413801,3.534503808369351
-0.004205568066822497,0.021877696597400298,-0.00021021811517514215,0.022280093003207505,1.7607105053615357,-2.0009825719776572e-05,-2.2218250359284073e-06,2.504265772952553e-21,-5.33375532500518e-07,1.268446079839492e-06,-1.9903058093732345e-07,5.791404994212714e-06,-2.446895903356271e-07,5.310979662005002,5.511901082659353,1.8786258627325185,3.5518451989372988
-0.004335020158239565,0.021802285680345774,-0.0002074482596085982,0.022230912508187105,1.7670697973567144,-2.016738839466013e-05,-2.245240377055762e-06,-8.277139943195105e-22,-5.135901876628058e-07,-1.2481419997359953e-06,1.996133087279651e-07,5.715617049117568e-06,-2.4143063507129104e-07,2.1458890142254687,2.3564042810722303,1.8786357112238434,3.537822288371262
-0.004490814383713031,0.021740019095159095,-0.00021328865076761577,0.022200829142557107,1.7745001966708205,-2.0252081022817275e-05,-2.203820086150718e-06,-4.434736421074694e-22,-5.178896263864276e-07,-1.2796446731181833e-06,2.0355229455113062e-07,5.875854271249784e-06,-2.483054986811777e-07,2.12014114516854,2.3608555637606967,1.878356361621909,3.5457303200139916
-0.00467066393395709,0.021655603389705288,-0.00021882325133925517,0.02215537337079629,1.7832216190055195,-2.0197892265805115e-05,-2.2549658268508776e-06,-1.4431921106108368e-21,-5.269447642630523e-07,1.3130035373935997e-06,-2.0877294789076428e-07,6.028885932104039e-06,-2.5464361557596117e-07,5.231552177933137,5.497014997565533,1.8784569158561606,3.5424112562033745
-0.004790303178873437,0.021547139909389983,-0.00021342160825925036,0.022074994749555155,1.7895559279511153,-1.997550648681458e-05,-2.2044651374486398e-06,2.0475805478816687e-21,-5.183624379223873e-07,1.2869143610007604e-06,-2.0353387743238494e-07,5.879777804406966e-06,-2.4850410849663025e-07,5.206873598356077,5.4947266727376665,1.8783458295677604,3.5485418475548665
-0.0049178989818118414,0.02147716335763161,-0.00020628583192651372,0.02203481000407091,1.7958983173661334,-1.9834748104656565e-05,-2.262987412545715e-06,-1.4766958672890248e-21,-5.161518458078001e-07,1.240183162155433e-06,-1.9853121356475053e-07,5.683771237091513e-06,-2.3921190580159033e-07,5.184399256843003,5.484924476224154,1.8782217892179525,3.5329312562913127
-0.005071191975363131,0.021436726393127024,-0.0002118940892694128,0.022030177849598022,1.803091430705783,-1.9660963841148656e-05,-2.2290708344896277e-06,1.8611260018962824e-21,-5.385590330529592e-07,-1.2728088926784655e-06,2.0013085200676263e-07,5.837716515561274e-06,-2.4646977427902947e-07,2.0193876590605084,2.3529763974782454,1.878276112957242,3.554210074032073
-0.005270336893527894,0.021391480820229476,-0.0002212009871006585,0.02203294014915277,1.8123608022341535,-1.9618538432572515e-05,-2.265556219234772e-06,-3.9932650859772e-21,-5.098981824618104e-07,1.3269524137251708e-06,-2.1388207039895236e-07,6.095322560055093e-06,-2.5612192498452867e-07,5.130425937737201,5.476739950845537,1.8783107326612318,3.529721949583315
